network,replicates,mean_AD,std_AD
Bendiksby_2011,1,0.0,0
Koenen_2020,5,0.32199999999999995,0.4824106134819175
Brysting_2007,5,0.0,0.0
Lawrence_2016,5,0.476,0.8471599612824016
Diaz-Perez_2018,5,0.9360000000000002,1.0467234591810772
Wisecaver_2023,5,0.0,0.0
Ding_2023,5,0.036,0.08049844718999243
Liang_2019,5,0.182,0.40696437190496176
Popp_2005,5,0.041999999999999996,0.09391485505499117
Wu_2015,5,0.0,0.0
Liu_2023,5,0.508,0.6520506115325712
Ren_2024,5,0.22799999999999998,0.42127188370457386
Marcussen_2011,1,2.0,0
Marcussen_2012,5,0.08199999999999999,0.18335757415498272
Sessa_2012b,5,1.4620000000000002,1.7146194913157844
Zhao_2021,5,0.064,0.14310835055998655
Hori_2014,5,0.33399999999999996,0.5106662315054716
Marcussen_2015,5,0.546,0.789037388214272
Shahrestani_2015,5,0.126,0.17854971296532515
Morales-Briones_2021,5,1.6920000000000002,0.8575371712060067
Soza_2014,5,0.312,0.4300813876465709
,,,
OVERALL_MEAN,21,0.45,0.59
