network,replicates,mean_AD,std_AD
Bendiksby_2011,5,0.8099999999999999,0.035355339059327355
Koenen_2020,5,0.37,0.05291502622129182
Brysting_2007,5,0.6140000000000001,0.035777087639996666
Lawrence_2016,5,2.248,0.0954986910905066
Diaz-Perez_2018,5,1.9759999999999998,0.08734987120768982
Wisecaver_2023,5,0.05,0.0158113883008419
Ding_2023,5,0.39999999999999997,0.037416573867739424
Liang_2019,5,0.758,0.04147288270665548
Popp_2005,5,0.10400000000000001,0.027928480087537882
Wu_2015,5,0.082,0.024899799195977464
Liu_2023,5,1.77,0.05787918451395118
Ren_2024,5,0.36000000000000004,0.03535533905932738
Marcussen_2011,5,1.4660000000000002,0.05176871642217918
Marcussen_2012,5,1.06,0.026457513110645932
Sessa_2012b,5,3.62,0.08154753215150044
Zhao_2021,5,0.10200000000000001,0.016431676725154984
Hori_2014,5,1.018,0.0759605160593318
Marcussen_2015,5,2.4519999999999995,0.0739594483484023
Shahrestani_2015,5,0.006,0.01341640786499874
Morales-Briones_2021,5,2.484,3.964395288060967
Soza_2014,5,2.68,0.06403124237432851
,,,
OVERALL_MEAN,21,1.16,1.06
