network,replicates,mean_AD,std_AD
Bendiksby_2011,5,0.7779999999999999,0.07155417527999323
Koenen_2020,5,0.344,0.0763544366752843
Brysting_2007,5,0.54,0.08455767262643883
Lawrence_2016,5,1.9780000000000002,0.10183319694480772
Diaz-Perez_2018,5,1.9439999999999997,0.10644247272588132
Wisecaver_2023,5,0.032,0.0396232255123179
Ding_2023,5,0.43599999999999994,0.10406728592598156
Liang_2019,5,0.75,0.0966953980290686
Popp_2005,5,0.072,0.030331501776206204
Wu_2015,5,0.09,0.036742346141747664
Liu_2023,5,1.61,0.07905694150420947
Ren_2024,5,0.27599999999999997,0.09316651759081691
Marcussen_2011,5,1.304,0.07334848328356898
Marcussen_2012,5,1.052,0.07949842765740715
Sessa_2012b,5,3.3660000000000005,0.2966985001647295
Zhao_2021,5,0.11000000000000001,0.0223606797749979
Hori_2014,5,0.9380000000000001,0.08043631020876084
Marcussen_2015,5,2.314,0.08648699324175851
Shahrestani_2015,5,0.0,0.0
Morales-Briones_2021,5,1.782,1.528764206802344
Soza_2014,5,2.646,0.17700282483621546
,,,
OVERALL_MEAN,21,1.06,0.97
