network,replicates,mean_AD,std_AD
Bendiksby_2011,5,52.016000000000005,0.311897419033886
Koenen_2020,5,46.12800000000001,0.23112767034693396
Brysting_2007,5,53.324,0.1789692711054059
Lawrence_2016,5,59.98599999999999,0.20863844324572658
Diaz-Perez_2018,5,56.86400000000001,0.47463670317412376
Wisecaver_2023,5,33.61,0.7320177593474079
Ding_2023,5,51.238,0.5770355275024236
Liang_2019,5,50.678,0.3197968104906615
Popp_2005,5,35.18599999999999,0.23776038357977297
Wu_2015,5,38.584,0.17343586710942982
Liu_2023,5,58.032,0.26423474411969367
Ren_2024,5,50.76200000000001,0.3386295911464322
Marcussen_2011,5,48.72599999999999,0.1303073290340957
Marcussen_2012,5,54.910000000000004,0.09433981132056629
Sessa_2012b,5,59.78000000000001,0.21505813167606508
Zhao_2021,5,42.514,0.3317830616532431
Hori_2014,5,50.06,0.4187481343242032
Marcussen_2015,5,58.298,0.1889973544788379
Shahrestani_2015,5,21.990000000000002,0.4014971979976936
Soza_2014,5,61.178,0.1375499909123934
,,,
OVERALL_MEAN,20,49.19,10.27
