network,replicates,mean_AD,std_AD
Bendiksby_2011,5,28.8,0.03082207001484509
Koenen_2020,5,23.721999999999998,0.4649408564538076
Brysting_2007,5,28.497999999999998,0.30161233396530734
Lawrence_2016,5,37.412,0.28163806560903704
Diaz-Perez_2018,5,35.525999999999996,0.2803212442894749
Wisecaver_2023,5,14.169999999999998,0.32480763537823365
Ding_2023,5,27.48,0.211541958013062
Liang_2019,5,27.868000000000002,0.24024986992712336
Popp_2005,5,16.046,0.30038308873836417
Wu_2015,5,16.842000000000002,0.3991490949507464
Liu_2023,5,35.578,0.2312358103754695
Ren_2024,5,25.486,0.33095316889251813
Marcussen_2011,5,28.748,0.34324918062538784
Marcussen_2012,5,31.192,0.11388590782006293
Sessa_2012b,5,40.002,0.17398275776639457
Zhao_2021,5,18.848,0.35095583767762095
Hori_2014,5,28.588,0.2652734438273082
Marcussen_2015,5,36.489999999999995,0.20676073128135214
Shahrestani_2015,5,7.226000000000001,0.3038585197094199
Soza_2014,5,38.773999999999994,0.18338484124921406
,,,
OVERALL_MEAN,20,27.36,9.00
