network,replicates,mean_AD,std_AD
Bendiksby_2011,5,0.7979999999999998,0.04494441010848846
Koenen_2020,5,0.366,0.02190890230020664
Brysting_2007,5,0.608,0.024899799195977488
Lawrence_2016,5,2.2960000000000003,0.06268971207462985
Diaz-Perez_2018,5,1.9420000000000002,0.08228000972289674
Wisecaver_2023,5,0.04,0.023452078799117152
Ding_2023,5,0.41600000000000004,0.03911521443121588
Liang_2019,5,0.75,0.033911649915626375
Popp_2005,5,0.1,0.025495097567963927
Wu_2015,5,0.10600000000000001,0.03577708763999663
Liu_2023,5,1.812,0.09523654760647302
Ren_2024,5,0.336,0.035777087639996645
Marcussen_2011,5,1.5459999999999998,0.0779743547584717
Marcussen_2012,5,1.074,0.03714835124201336
Sessa_2012b,5,3.5520000000000005,0.0370135110466435
Zhao_2021,5,0.11400000000000002,0.027018512172212593
Hori_2014,5,1.026,0.09476286192385706
Marcussen_2015,5,2.4699999999999998,0.05567764362830023
Shahrestani_2015,5,0.012,0.01643167672515498
Soza_2014,5,2.6860000000000004,0.042778499272414845
,,,
OVERALL_MEAN,20,1.10,1.04
