network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90,best_method,best_value
Wisecaver_2023,0.8129032258064516,,0.3870967741935484,0.7806451612903226,0.7806451612903226,0.8387096774193548,padre,0.3870967741935484
Ding_2023,0.9217021276595744,1.035686274509804,,0.8713346228239844,0.7489361702127659,0.4425531914893617,polyphest_p90,0.4425531914893617
Popp_2005,0.8688524590163935,,0.5901639344262295,0.898360655737705,0.8852459016393442,0.8786885245901639,padre,0.5901639344262295
Zhao_2021,0.5909090909090909,,,,0.9090909090909092,0.8484848484848485,grampa,0.5909090909090909
Shahrestani_2015,0.8666666666666666,1.2551724137931033,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926,padre,0.5925925925925926
Wu_2015,0.9449541284403672,1.2293577981651376,,0.6385321100917432,0.8256880733944956,0.8146788990825689,polyphest_p50,0.6385321100917432
Liu_2023,0.9525925925925924,1.1907407407407409,,0.7555555555555555,0.7674074074074074,0.9274074074074072,polyphest_p50,0.7555555555555555
Ren_2024,0.948780487804878,,,0.8926829268292684,0.7609756097560976,0.8682926829268294,polyphest_p70,0.7609756097560976
Liang_2019,0.95859375,,,0.88125,0.86875,0.77578125,polyphest_p90,0.77578125
Koenen_2020,0.7972972972972973,1.0854774774774776,0.9071729957805909,0.9945945945945944,0.9891891891891892,0.854054054054054,grampa,0.7972972972972973
Hori_2014,0.948148148148148,,,0.8333333333333334,0.8222222222222222,0.8648148148148147,polyphest_p70,0.8222222222222222
Brysting_2007,0.9383838383838384,,,0.8908989391401452,0.8444444444444444,0.8262626262626263,polyphest_p90,0.8262626262626263
Marcussen_2015,0.986842105263158,,,,,0.8421052631578947,polyphest_p90,0.8421052631578947
Lawrence_2016,0.9313953488372092,,,0.872093023255814,0.872093023255814,0.8895348837209303,polyphest_p50,0.872093023255814
Marcussen_2012,0.9223300970873788,,,,,,grampa,0.9223300970873788
Bendiksby_2011,0.9238095238095236,1.22010582010582,,0.962962962962963,0.9587301587301588,0.9544973544973544,grampa,0.9238095238095236
Morales-Briones_2021,,,,,,0.9251760563380282,polyphest_p90,0.9251760563380282
Marcussen_2011,0.9275590551181102,,,,,,grampa,0.9275590551181102
Sessa_2012b,0.943217665615142,,,0.9616738958990536,0.9514727917981072,0.972870662460568,grampa,0.943217665615142
Diaz-Perez_2018,0.9658536585365852,,,,,,grampa,0.9658536585365852
Soza_2014,0.9685082872928176,,,,,,grampa,0.9685082872928176
