metric,rank,method,avg_value,avg_std,num_networks
edit_distance,1,padre,0.5185185185185185,0.0,1
edit_distance,2,polyphest_p50,0.8312989903931371,0.044133538669656185,15
edit_distance,3,polyphest_p70,0.8327383162395677,0.03848929093065431,15
edit_distance,4,polyphest_p90,0.842305437773715,0.037923866841046254,15
edit_distance,5,grampa,0.8949128155585088,0.05392944259792006,20
edit_distance,6,mpsugar,1.1512797490843034,0.08813659076482959,6
num_rets_diff,1,padre,0.0,0.0,1
num_rets_diff,2,polyphest_p90,0.47111111111111115,0.16059642991525502,15
num_rets_diff,3,polyphest_p70,0.64,0.16397761689621496,15
num_rets_diff,4,polyphest_p50,0.6733333333333333,0.08365528924611425,15
num_rets_diff,5,mpsugar,3.6,0.31489389066750667,6
num_rets_diff,6,grampa,7.31,0.02236067977499789,20
ploidy_diff.dist,1,polyphest_p50,0.0,0.0,15
ploidy_diff.dist,2,padre,0.0,0.0,1
ploidy_diff.dist,3,polyphest_p90,0.0,0.0,15
ploidy_diff.dist,4,polyphest_p70,0.0,0.0,15
ploidy_diff.dist,5,grampa,0.7724773254011621,0.09382011563708645,20
ploidy_diff.dist,6,mpsugar,1.2463624338624337,0.2961957139089272,6
ret_leaf_jaccard.dist,1,padre,0.0,0.0,1
ret_leaf_jaccard.dist,2,polyphest_p90,0.13390211640211638,0.0583062915943545,15
ret_leaf_jaccard.dist,3,polyphest_p50,0.1941388888888889,0.005615669219997067,15
ret_leaf_jaccard.dist,4,polyphest_p70,0.2123611111111111,0.07049679992651561,15
ret_leaf_jaccard.dist,5,grampa,0.7613259531473817,0.07936793043018504,20
ret_leaf_jaccard.dist,6,mpsugar,0.8519907407407407,0.09034521710299248,6
ret_sisters_jaccard.dist,1,polyphest_p90,0.18835570567733265,0.07280590545427455,15
ret_sisters_jaccard.dist,2,polyphest_p50,0.23301127461787183,0.030503107062043386,15
ret_sisters_jaccard.dist,3,polyphest_p70,0.25802261904761903,0.09860323653538003,15
ret_sisters_jaccard.dist,4,padre,0.375,0.0,1
ret_sisters_jaccard.dist,5,grampa,0.8060852407629719,0.04940036331726851,20
ret_sisters_jaccard.dist,6,mpsugar,0.8592540445665445,0.08482342746383616,6
