network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90,best_method,best_value
Shahrestani_2015,0.7777777777777778,1.2137931034482758,0.5185185185185185,0.5925925925925926,0.5925925925925926,0.6370370370370371,padre,0.5185185185185185
Wu_2015,0.9559633027522936,1.1944954128440366,,0.6972477064220184,0.6788990825688074,0.6422018348623854,polyphest_p90,0.6422018348623854
Wisecaver_2023,0.6838709677419355,,,0.6645161290322581,0.6645161290322581,0.6645161290322581,polyphest_p50,0.6645161290322581
Koenen_2020,0.6810810810810811,1.1786666666666663,,0.9567567567567568,0.9479986315429354,0.945945945945946,grampa,0.6810810810810811
Liang_2019,0.95390625,,,0.70625,0.74921875,0.73046875,polyphest_p50,0.70625
Liu_2023,0.9466666666666668,1.1970370370370371,,0.7525925925925926,0.717037037037037,0.8128824476650565,polyphest_p70,0.717037037037037
Zhao_2021,0.7272727272727273,,,0.935022742040286,0.9067097962576094,0.8931569213259354,grampa,0.7272727272727273
Ding_2023,0.948,0.923686274509804,,0.7645454545454545,0.75,0.851063829787234,polyphest_p70,0.75
Hori_2014,0.9703703703703702,,,0.7592592592592593,0.8111111111111111,0.8185185185185185,polyphest_p50,0.7592592592592593
Popp_2005,0.862295081967213,,,0.8918032786885245,0.9003586065573771,0.9142418032786884,grampa,0.862295081967213
Ren_2024,0.8878048780487806,,,0.9214285714285716,0.9357142857142856,0.9101078204474432,grampa,0.8878048780487806
Lawrence_2016,0.9011627906976744,,,0.9131891681278004,0.9246834210013636,0.915565945840639,grampa,0.9011627906976744
Sessa_2012b,0.943217665615142,,,0.9234375,0.925625,0.9141679810725551,polyphest_p90,0.9141679810725551
Marcussen_2012,0.9320388349514562,,,,,,grampa,0.9320388349514562
Marcussen_2011,0.9401574803149606,,,,,,grampa,0.9401574803149606
Brysting_2007,0.9454545454545455,,,1.0130653266331655,1.0130653266331655,1.009045226130653,grampa,0.9454545454545455
Bendiksby_2011,0.9470899470899472,1.2,,0.9777777777777776,0.9735449735449734,0.9756613756613756,grampa,0.9470899470899472
Diaz-Perez_2018,0.948509485094851,,,,,,grampa,0.948509485094851
Soza_2014,0.9574585635359116,,,,,,grampa,0.9574585635359116
Marcussen_2015,0.988157894736842,,,,,,grampa,0.988157894736842
