network,real_dup,real_loss,10_mil_high_dup,10_mil_high_loss,10_mil_low_dup,10_mil_low_loss,10_mil_med_dup,10_mil_med_loss,1_mil_high_dup,1_mil_high_loss,1_mil_low_dup,1_mil_low_loss,1_mil_med_dup,1_mil_med_loss,50_mil_high_dup,50_mil_high_loss,50_mil_low_dup,50_mil_low_loss,50_mil_med_dup,50_mil_med_loss
Bendiksby_2011,,,,,,,1.2,1.2,1.6,1.7,0.01,0.008,,,,,0.5,0.7,7.1,6.2
Brysting_2007,,,17.563,16.991,0.173,0.136,1.556,1.615,1.592,1.568,0.021,0.011,0.171,0.149,132.394,131.099,0.803,0.779,7.884,8.041
Diaz-Perez_2018,17.0,62.67,12.192,11.943,0.124,0.103,1.092,1.086,1.115,1.154,0.007,0.014,0.113,0.1,96.121,94.178,0.562,0.569,5.861,5.574
Ding_2023,4.28,7.69,9.975,9.832,0.086,0.081,0.971,0.908,0.896,0.923,0.007,0.013,0.093,0.083,81.538,78.772,0.473,0.412,4.72,4.603
Hori_2014,,,10.567,10.389,0.111,0.087,1.053,0.998,1.039,0.978,0.009,0.007,0.124,0.099,91.739,89.359,0.557,0.497,5.394,5.22
Koenen_2020,2.74,11.99,9.754,9.662,0.083,0.07,1.003,0.908,0.926,0.865,0.008,0.01,0.104,0.085,76.512,74.297,0.495,0.448,4.846,4.569
Lawrence_2016,23.5,33.0,14.054,13.863,0.132,0.1,1.36,1.297,1.311,1.321,0.017,0.011,0.124,0.132,111.588,109.632,0.66,0.631,6.702,6.713
Liang_2019,,,19.26,19.312,0.2,0.168,1.883,1.865,1.867,1.829,0.016,0.014,0.198,0.185,131.844,130.532,0.969,0.915,9.048,9.19
Liu_2023,,,12.027,12.048,0.111,0.087,1.128,1.076,1.101,1.079,0.009,0.007,0.115,0.101,94.515,91.615,0.542,0.542,5.689,5.631
Marcussen_2011,,,,,,,0.6,0.5,,,0.007,0.011,,,,,0.1,0.3,6.7,4.6
Marcussen_2012,,,,,,,,,2.7,2.2,0.024,0.022,,,,,0.6,0.6,,
Marcussen_2015,25.0,79.0,17.087,16.568,0.173,0.141,1.524,1.52,1.541,1.53,0.013,0.013,0.151,0.134,131.71,130.424,0.795,0.81,8.053,7.887
Morales-Briones_2021,61.66,355.88,27.506,27.376,0.261,0.265,2.541,2.55,2.601,2.553,0.022,0.024,0.253,0.261,213.213,210.327,1.272,1.307,13.304,13.183
Popp_2005,25.0,66.2,7.825,7.599,0.077,0.067,0.726,0.697,0.735,0.673,0.004,0.005,0.07,0.067,69.036,65.803,0.1,0.3,3.777,3.703
Ren_2024,15.46,19.7,11.505,11.123,0.119,0.078,1.071,1.043,1.031,1.054,0.01,0.005,0.108,0.081,97.449,94.833,0.477,0.522,5.323,5.222
Sessa_2012b,,,19.238,18.868,0.163,0.163,1.696,1.749,1.777,1.675,0.019,0.016,0.177,0.178,138.355,136.279,0.887,0.805,9.129,9.025
Shahrestani_2015,,,5.19,4.66,0.041,0.04,0.424,0.35,0.4,0.411,0.004,0.002,0.042,0.032,47.143,43.6,0.2,0.199,2.188,2.084
Soza_2014,,,23.701,23.643,0.235,0.211,2.289,2.257,2.334,2.328,0.025,0.019,0.219,0.228,166.629,165.474,1.212,1.12,11.436,11.839
Wisecaver_2023,4.18,15.16,7.802,7.45,0.055,0.065,0.718,0.677,0.695,0.683,0.003,0.008,0.067,0.067,68.302,64.97,0.343,0.34,3.664,3.513
Wu_2015,5.0,19.5,11.152,10.936,0.102,0.103,1.072,1.1,1.052,1.085,0.01,0.007,0.121,0.114,90.399,88.947,0.541,0.532,5.581,5.516
Zhao_2021,3.42,14.3,11.393,11.377,0.101,0.106,1.088,1.072,1.114,1.062,0.013,0.012,0.12,0.105,98.776,96.705,0.543,0.537,5.964,5.697
,,,,,,,,,,,,,,,,,,,,
MEAN,17.021818181818183,62.280909090909084,13.766166666666665,13.535555555555556,0.1303888888888889,0.11505555555555554,1.24975,1.2234000000000003,1.37135,1.3335500000000002,0.012285714285714285,0.011380952380952382,0.13166666666666668,0.12227777777777778,107.62572222222221,105.38033333333334,0.6014761904761904,0.6126190476190476,6.61815,6.400499999999999
STD,17.392661566408872,100.5127191408675,5.847773133223198,5.883295937224926,0.05984208521933952,0.05692458604796373,0.5379771933142853,0.5613064084887383,0.6287487386196409,0.5782291910379663,0.006761234037828133,0.005581005200465149,0.05453762867210556,0.05899232807104522,39.66602372130936,40.02768609791154,0.30977130581246853,0.2731040966720339,2.6488615881464805,2.7596351684883813
