network,num_trees,avg_duplications,avg_losses,median_duplications,median_losses,min_duplications,max_duplications,min_losses,max_losses
Koenen_2020,1000,3.74,12.74,4.0,13.0,0,8,0,27
Brysting_2007,1000,8.59,30.47,9.0,31.0,1,17,4,53
Lawrence_2016,1000,9.33,35.67,9.0,36.0,2,16,9,56
Diaz-Perez_2018,1000,6.58,24.14,7.0,24.0,2,12,6,44
Wisecaver_2023,1000,1.68,5.35,2.0,6.0,0,6,0,18
Ding_2023,1000,3.23,11.27,3.0,12.0,0,7,0,23
Liang_2019,1000,10.98,38.8,11.0,39.0,5,18,17,63
Popp_2005,1000,2.03,6.58,2.0,6.0,0,6,0,19
Wu_2015,1000,3.31,10.97,3.0,11.0,0,8,0,27
Liu_2023,1000,6.97,26.05,7.0,26.0,2,13,10,45
Ren_2024,1000,5.05,17.75,5.0,18.0,0,10,0,35
Marcussen_2012,1000,41.17,283.2,41.0,283.0,31,51,223,340
Sessa_2012b,1000,33.34,270.7,33.0,271.0,26,51,186,379
Zhao_2021,1000,4.13,13.63,4.0,13.0,0,10,0,35
Hori_2014,1000,4.64,16.88,5.0,17.0,1,9,3,33
Marcussen_2015,1000,10.06,39.52,10.0,40.0,4,16,18,63
Shahrestani_2015,1000,0.33,1.01,0.0,0.0,0,2,0,8
Morales-Briones_2021,1000,50.59,260.3,51.0,260.0,38,103,200,548
Soza_2014,1000,21.15,80.25,21.0,80.0,13,31,50,117
,,,,,,,,,
MEAN,,11.94,62.38,,,,,,
STD,,14.31,94.73,,,,,,
