network,config,method,metric,mean,std,min,max,n_valid
Bendiksby_2011,conf_dup_loss_low_10M,grampa,edit_distance,0.9449735449735449,0.011592011799051123,0.9365079365079365,0.9576719576719577,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,edit_distance_multree,0.890586324028947,0.01218800085686978,0.8702702702702703,0.9027027027027027,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,num_rets_bias,-5.0,0.0,-5.0,-5.0,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,num_rets_diff,5.0,0.0,5.0,5.0,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ploidy_diff.FN,3.4,0.8944271909999159,3.0,5.0,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ploidy_diff.FP,3.2,1.7888543819998317,0.0,4.0,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ploidy_diff.TP,2.6,0.8944271909999159,1.0,3.0,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ploidy_diff.dist,0.7266666666666667,0.05962847939999444,0.7,0.8333333333333334,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ret_leaf_jaccard.FN,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ret_leaf_jaccard.FP,0.11428571428571428,0.06388765649999399,0.0,0.14285714285714285,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ret_leaf_jaccard.TP,0.052380952380952306,0.06388765649999402,0.023809523809523725,0.16666666666666663,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ret_leaf_jaccard.dist,0.9476190476190476,0.06388765649999402,0.8333333333333334,0.9761904761904763,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ret_sisters_jaccard.FN,0.9333333333333333,0.055901699437494755,0.8333333333333334,0.9583333333333334,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ret_sisters_jaccard.FP,0.06666666666666667,0.03726779962499649,0.0,0.08333333333333333,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ret_sisters_jaccard.TP,0.06666666666666662,0.05590169943749474,0.04166666666666663,0.16666666666666663,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,ret_sisters_jaccard.dist,0.9333333333333333,0.055901699437494755,0.8333333333333334,0.9583333333333334,5
Bendiksby_2011,conf_dup_loss_low_10M,grampa,rf_distance,0.3130379746835443,0.056108853248971295,0.21518987341772153,0.35,5
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,edit_distance,0.9629629629629629,0.0,0.9629629629629629,0.9629629629629629,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,edit_distance_multree,0.7349726775956285,0.027322404371584643,0.7213114754098361,0.7759562841530054,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,num_rets_bias,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,num_rets_diff,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ploidy_diff.FN,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ploidy_diff.FP,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ploidy_diff.TP,6.0,0.0,6.0,6.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ploidy_diff.dist,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ret_leaf_jaccard.FN,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ret_leaf_jaccard.FP,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ret_leaf_jaccard.TP,1.0,0.0,1.0,1.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ret_leaf_jaccard.dist,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ret_sisters_jaccard.FN,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ret_sisters_jaccard.FP,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ret_sisters_jaccard.TP,1.0,0.0,1.0,1.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,ret_sisters_jaccard.dist,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p50,rf_distance,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p70,edit_distance,0.9629629629629629,0.0,0.9629629629629629,0.9629629629629629,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p70,edit_distance_multree,0.7349726775956285,0.027322404371584643,0.7213114754098361,0.7759562841530054,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p70,num_rets_bias,0.0,0.0,0.0,0.0,4
Bendiksby_2011,conf_dup_loss_low_10M,polyphest_p70,num_rets_diff,0.0,0.0,0.0,0.0,4
