network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8906 ± 0.0122 (5),0.7350 ± 0.0273 (4),0.7350 ± 0.0273 (4),0.7350 ± 0.0273 (4)
Brysting_2007,0.8973 ± 0.0223 (5),0.3286 ± 0.0656 (5),0.3286 ± 0.0656 (5),0.2249 ± 0.0193 (5)
Diaz-Perez_2018,0.8645 ± 0.0181 (5),0.0992 ± 0.0000 (5),0.0992 ± 0.0000 (5),0.2017 ± 0.0938 (5)
Ding_2023,0.2314 ± 0.3307 (5),0.5589 ± 0.0312 (5),0.2575 ± 0.1470 (5),0.1699 ± 0.0123 (5)
Hori_2014,0.8419 ± 0.0554 (5),0.0724 ± 0.0209 (5),0.0457 ± 0.0170 (5),0.0610 ± 0.0637 (5)
Koenen_2020,0.3056 ± 0.2863 (5),0.6292 ± 0.0000 (5),0.6202 ± 0.0201 (5),0.5528 ± 0.0788 (5)
Lawrence_2016,0.7387 ± 0.0103 (5),0.2543 ± 0.0000 (5),0.2543 ± 0.0000 (5),0.2543 ± 0.0000 (5)
Liang_2019,0.9823 ± 0.0075 (5),0.6684 ± 0.1567 (5),0.6920 ± 0.1169 (5),0.7241 ± 0.1115 (5)
Liu_2023,0.7820 ± 0.0336 (5),0.3880 ± 0.0374 (5),0.3910 ± 0.0000 (5),0.4271 ± 0.0625 (5)
Marcussen_2011,0.7556 ± 0.0983 (5),0.7259 ± 0.0000 (5),0.7259 ± 0.0000 (5),0.6637 ± 0.0243 (5)
Marcussen_2012,0.9595 ± 0.0026 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9137 ± 0.0102 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.7733 ± 0.0829 (5),0.1231 ± 0.0000 (5),0.1231 ± 0.0000 (5),0.1969 ± 0.0674 (5)
Ren_2024,0.7901 ± 0.0488 (5),0.6843 ± 0.0490 (5),0.6909 ± 0.0528 (5),0.6843 ± 0.0277 (5)
Sessa_2012b,0.9067 ± 0.0229 (5),0.4537 ± 0.0876 (5),0.5316 ± 0.1124 (5),0.4895 ± 0.1028 (5)
Shahrestani_2015,0.6110 ± 0.0735 (5),0.1600 ± 0.0000 (5),0.1600 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,0.9561 ± 0.0244 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.4584 ± 0.2223 (5),0.0262 ± 0.0587 (5),0.0262 ± 0.0587 (5),0.5508 ± 0.0711 (5)
Wu_2015,0.8647 ± 0.0600 (5),0.3086 ± 0.0637 (5),0.3086 ± 0.0637 (5),0.3238 ± 0.0539 (5)
Zhao_2021,0.6598 ± 0.3340 (5),0.6393 ± 0.1669 (5),0.6667 ± 0.1417 (4),0.6410 ± 0.0866 (4)
