network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.890586324028947,0.7349726775956285,0.7349726775956285,0.7349726775956285
Brysting_2007,0.8972972972972973,0.3286486486486487,0.3286486486486487,0.22486486486486487
Diaz-Perez_2018,0.8644628099173554,0.09917355371900827,0.09917355371900827,0.20165289256198346
Ding_2023,0.2313546423135464,0.558904109589041,0.2575342465753424,0.16986301369863013
Hori_2014,0.8419047619047619,0.07238095238095239,0.04571428571428572,0.06095238095238096
Koenen_2020,0.30561797752808995,0.6292134831460674,0.6202247191011236,0.5528089887640449
Lawrence_2016,0.738728323699422,0.2543352601156069,0.2543352601156069,0.2543352601156069
Liang_2019,0.9822784810126584,0.6683544303797468,0.6919831223628692,0.7240506329113924
Liu_2023,0.7819548872180451,0.3879699248120301,0.39097744360902253,0.42706766917293226
Marcussen_2011,0.7555555555555555,0.725925925925926,0.725925925925926,0.6637037037037037
Marcussen_2012,0.959529411764706,,,
Marcussen_2015,0.9137055837563451,,,
Popp_2005,0.7733333333333333,0.12307692307692308,0.12307692307692308,0.19692307692307692
Ren_2024,0.7900826446280991,0.684297520661157,0.6909090909090909,0.684297520661157
Sessa_2012b,0.9067092651757189,0.4536741214057508,0.531629392971246,0.4894568690095847
Shahrestani_2015,0.6110344827586207,0.16,0.16,0.0
Soza_2014,0.9560975609756097,,,
Wisecaver_2023,0.458417063282214,0.02622950819672131,0.02622950819672131,0.5508196721311476
Wu_2015,0.8647100392233135,0.3085714285714286,0.3085714285714286,0.3238095238095238
Zhao_2021,0.6598290598290598,0.6393162393162394,0.6666666666666667,0.641025641025641
