network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.01218800085686978,0.027322404371584643,0.027322404371584643,0.027322404371584643
Brysting_2007,0.02228705743577111,0.06558162546206746,0.06558162546206747,0.01933896629189007
Diaz-Perez_2018,0.01810653082661705,0.0,0.0,0.09379346088668501
Ding_2023,0.3306502245836107,0.03123768287942843,0.1470291272876574,0.01225242727397145
Hori_2014,0.055369302299994816,0.02086562123829204,0.0170367083999984,0.06374552583116766
Koenen_2020,0.2862854319854577,0.0,0.020099487438200357,0.0788120355808997
Lawrence_2016,0.0103401987398834,0.0,0.0,0.0
Liang_2019,0.007547908784809417,0.15667593363813473,0.11693170008903812,0.111539348163879
Liu_2023,0.03362508236841787,0.03744330706162024,0.0,0.06254626870100881
Marcussen_2011,0.09827036415867853,0.0,0.0,0.024343224778007364
Marcussen_2012,0.0025775179176713843,,,
Marcussen_2015,0.010152284263959373,,,
Popp_2005,0.08288042605471563,0.0,0.0,0.06741200707755891
Ren_2024,0.0487533262933971,0.049032717270053934,0.05278915511626879,0.027658182695341343
Sessa_2012b,0.02286075887539723,0.08761219936614753,0.11235836237870042,0.10279400665656331
Shahrestani_2015,0.07354453785803186,0.0,0.0,0.0
Soza_2014,0.024420336750284655,,,
Wisecaver_2023,0.22225852887874112,0.05865096334425679,0.05865096334425679,0.07108027340550425
Wu_2015,0.05998580107304526,0.06374552583116766,0.06374552583116766,0.053874802376117914
Zhao_2021,0.3340120200123754,0.16687473315372006,0.14165017543767583,0.08660218890923456
