network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9450 ± 0.0116 (5),0.9630 ± 0.0000 (4),0.9630 ± 0.0000 (4),0.9630 ± 0.0000 (4)
Brysting_2007,0.9556 ± 0.0115 (5),0.9930 ± 0.0110 (5),0.9222 ± 0.1089 (5),0.9616 ± 0.0863 (5)
Diaz-Perez_2018,0.9333 ± 0.0089 (5),0.1951 ± 0.0000 (5),0.1951 ± 0.0000 (5),0.2439 ± 0.0445 (5)
Ding_2023,0.9457 ± 0.0192 (5),0.7401 ± 0.0636 (5),0.8291 ± 0.0163 (5),0.8481 ± 0.0066 (5)
Hori_2014,0.9593 ± 0.0331 (5),0.8259 ± 0.0166 (5),0.8444 ± 0.0101 (5),0.8370 ± 0.0241 (5)
Koenen_2020,0.3838 ± 0.3956 (5),0.9899 ± 0.0226 (5),0.9753 ± 0.0353 (5),0.9740 ± 0.0310 (5)
Lawrence_2016,0.9360 ± 0.0000 (5),0.8256 ± 0.0000 (5),0.8070 ± 0.0416 (5),0.8070 ± 0.0416 (5)
Liang_2019,0.9664 ± 0.0169 (5),0.8492 ± 0.1024 (5),0.8883 ± 0.0644 (5),0.9570 ± 0.0742 (5)
Liu_2023,0.9496 ± 0.0133 (5),0.7585 ± 0.0066 (5),0.7704 ± 0.0331 (5),0.7838 ± 0.0325 (5)
Marcussen_2011,0.9465 ± 0.0086 (5),1.0551 ± 0.0000 (5),1.0551 ± 0.0000 (5),1.0535 ± 0.0117 (5)
Marcussen_2012,0.9126 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9921 ± 0.0118 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.8623 ± 0.0631 (5),0.8852 ± 0.0000 (5),0.8852 ± 0.0000 (5),0.8852 ± 0.0000 (5)
Ren_2024,0.8878 ± 0.0327 (5),0.9010 ± 0.0572 (5),0.9021 ± 0.0470 (5),0.7317 ± 0.1313 (5)
Sessa_2012b,0.9451 ± 0.0091 (5),0.9694 ± 0.0056 (5),0.9656 ± 0.0063 (5),0.9604 ± 0.0131 (5)
Shahrestani_2015,0.7926 ± 0.1689 (5),0.5926 ± 0.0000 (5),0.5926 ± 0.0000 (5),0.8148 ± 0.0000 (5)
Soza_2014,0.9641 ± 0.0128 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.6710 ± 0.1728 (5),0.6387 ± 0.0577 (5),0.6387 ± 0.0577 (5),0.9032 ± 0.0000 (5)
Wu_2015,0.9706 ± 0.0164 (5),0.6789 ± 0.0502 (5),0.6789 ± 0.0502 (5),0.6972 ± 0.0410 (5)
Zhao_2021,0.5152 ± 0.2508 (5),0.9015 ± 0.0456 (5),0.9213 ± 0.0317 (4),0.9230 ± 0.0349 (4)
