network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.011592011799051123,0.0,0.0,0.0
Brysting_2007,0.011516923485849862,0.011009498643319885,0.10893809284947016,0.0862735072266026
Diaz-Perez_2018,0.008906057845612478,0.0,0.0,0.044530289228062285
Ding_2023,0.01924467791068276,0.0635802108365931,0.016262312563634793,0.0065741263555120005
Hori_2014,0.03312693299999686,0.016563466499998424,0.01014301032416969,0.024145194093343144
Koenen_2020,0.3955560297616368,0.02264372635442828,0.03529181716287989,0.031020351542334713
Lawrence_2016,0.0,0.0,0.04160126469767053,0.04160126469767053
Liang_2019,0.016937096397405316,0.10244508342125307,0.06439983592515977,0.07421875
Liu_2023,0.013250773199998706,0.006625386599999393,0.03312693299999689,0.0325251110619668
Marcussen_2011,0.008625552086695508,0.0,0.0,0.0116790527355838
Marcussen_2012,0.0,,,
Marcussen_2015,0.011768778828946247,,,
Popp_2005,0.06306683298908636,0.0,0.0,0.0
Ren_2024,0.032722946012192076,0.05721417288870766,0.04696130075389873,0.13134548310084157
Sessa_2012b,0.00908823993115961,0.005590169943749515,0.00625000000000006,0.013078657569928147
Shahrestani_2015,0.16891487779246486,0.0,0.0,0.0
Soza_2014,0.012808865325270305,,,
Wisecaver_2023,0.17281413207714677,0.057704980064510754,0.057704980064510754,0.0
Wu_2015,0.016411508091741595,0.05024977591790516,0.050249775917905165,0.041028770229354
Zhao_2021,0.25080220238252804,0.04556026958305485,0.0317312645878871,0.03490659665889461
