network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,5.0,0.0,0.0,0.0
Brysting_2007,17.0,1.0,0.6,1.6
Diaz-Perez_2018,8.0,0.0,0.0,0.0
Ding_2023,0.4,3.8,2.0,0.4
Hori_2014,6.0,0.0,0.0,0.0
Koenen_2020,0.0,0.2,0.6,0.2
Lawrence_2016,3.0,0.0,0.0,0.0
Liang_2019,24.0,0.2,0.2,0.6
Liu_2023,5.0,0.0,0.0,0.4
Marcussen_2011,4.0,0.0,0.0,0.0
Marcussen_2012,9.0,,,
Marcussen_2015,13.0,,,
Popp_2005,0.0,0.0,0.0,0.0
Ren_2024,2.0,3.0,2.4,0.0
Sessa_2012b,15.4,0.0,0.0,0.0
Shahrestani_2015,1.0,0.0,0.0,0.0
Soza_2014,24.6,,,
Wisecaver_2023,0.0,0.0,0.0,0.0
Wu_2015,7.0,0.0,0.0,0.0
Zhao_2021,0.0,1.6,1.0,1.0
