network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.7266666666666667,0.0,0.0,0.0
Brysting_2007,0.9804761904761904,0.0,0.0,0.0
Diaz-Perez_2018,1.0769230769230769,0.0,0.0,0.0
Ding_2023,0.2158730158730159,0.0,0.0,0.0
Hori_2014,1.2756302521008402,0.0,0.0,0.0
Koenen_2020,0.0,0.0,0.0,0.0
Lawrence_2016,1.0,0.0,0.0,0.0
Liang_2019,1.0,0.0,0.0,0.0
Liu_2023,0.875,0.0,0.0,0.0
Marcussen_2011,0.9428571428571428,0.0,0.0,0.0
Marcussen_2012,1.0298507462686568,,,
Marcussen_2015,0.9705882352941175,,,
Popp_2005,0.7428571428571429,0.0,0.0,0.0
Ren_2024,0.9333333333333333,0.0,0.0,0.0
Sessa_2012b,1.0415483870967743,0.0,0.0,0.0
Shahrestani_2015,0.55,0.0,0.0,0.0
Soza_2014,1.0,,,
Wisecaver_2023,0.2,0.0,0.0,0.0
Wu_2015,0.8041666666666666,0.0,0.0,0.0
Zhao_2021,0.3375,0.0,0.0,0.0
