network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.05962847939999444,0.0,0.0,0.0
Brysting_2007,0.02674732699044504,0.0,0.0,0.0
Diaz-Perez_2018,0.0,0.0,0.0,0.0
Ding_2023,0.37117071499845133,0.0,0.0,0.0
Hori_2014,0.0855053200568295,0.0,0.0,0.0
Koenen_2020,0.0,0.0,0.0,0.0
Lawrence_2016,0.0,0.0,0.0,0.0
Liang_2019,0.0,0.0,0.0,0.0
Liu_2023,0.0,0.0,0.0,0.0
Marcussen_2011,0.031943828249996996,0.0,0.0,0.0
Marcussen_2012,0.0,,,
Marcussen_2015,0.0,,,
Popp_2005,0.015971914124998494,0.0,0.0,0.0
Ren_2024,0.0,0.0,0.0,0.0
Sessa_2012b,0.04585095520981484,0.0,0.0,0.0
Shahrestani_2015,0.11180339887498948,0.0,0.0,0.0
Soza_2014,0.0,,,
Wisecaver_2023,0.447213595499958,0.0,0.0,0.0
Wu_2015,0.11624427504819956,0.0,0.0,0.0
Zhao_2021,0.30809393859665596,0.0,0.0,0.0
