network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9476 ± 0.0639 (5),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (4)
Brysting_2007,0.9833 ± 0.0248 (5),0.0556 ± 0.0000 (5),0.0333 ± 0.0304 (5),0.0889 ± 0.0497 (5)
Diaz-Perez_2018,0.8889 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,0.4000 ± 0.5477 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),0.2000 ± 0.4472 (5)
Hori_2014,0.9943 ± 0.0128 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Koenen_2020,0.0000 ± 0.0000 (5),0.1200 ± 0.2683 (5),0.2800 ± 0.3899 (5),0.1200 ± 0.2683 (5)
Lawrence_2016,0.7500 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liang_2019,1.0000 ± 0.0000 (5),0.0125 ± 0.0280 (5),0.0208 ± 0.0361 (5),0.0542 ± 0.0406 (5)
Liu_2023,0.8333 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.1071 ± 0.1071 (5)
Marcussen_2011,0.8400 ± 0.0894 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2012,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9286 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.1600 ± 0.3578 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,0.6667 ± 0.0000 (5),0.5000 ± 0.0000 (5),0.4000 ± 0.2236 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,0.9722 ± 0.0322 (5),0.0312 ± 0.0000 (5),0.0312 ± 0.0000 (5),0.0187 ± 0.0171 (5)
Shahrestani_2015,0.5667 ± 0.1491 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.2000 ± 0.4472 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9186 ± 0.0597 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.3375 ± 0.3081 (5),0.5136 ± 0.4739 (5),0.5833 ± 0.3909 (4),0.4062 ± 0.4719 (4)
