network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9476190476190476,0.0,0.0,0.0
Brysting_2007,0.9833333333333334,0.05555555555555556,0.03333333333333333,0.08888888888888888
Diaz-Perez_2018,0.888888888888889,0.0,0.0,0.0
Ding_2023,0.4,1.0,1.0,0.2
Hori_2014,0.9942857142857143,0.0,0.0,0.0
Koenen_2020,0.0,0.12,0.27999999999999997,0.12
Lawrence_2016,0.75,0.0,0.0,0.0
Liang_2019,1.0,0.0125,0.020833333333333332,0.05416666666666666
Liu_2023,0.8333333333333334,0.0,0.0,0.10714285714285714
Marcussen_2011,0.8400000000000001,0.0,0.0,0.0
Marcussen_2012,1.0,,,
Marcussen_2015,0.9285714285714286,,,
Popp_2005,0.16,0.0,0.0,0.0
Ren_2024,0.6666666666666666,0.5,0.4,0.0
Sessa_2012b,0.9722222222222221,0.03125,0.03125,0.01875
Shahrestani_2015,0.5666666666666667,0.0,0.0,0.0
Soza_2014,1.0,,,
Wisecaver_2023,0.2,0.0,0.0,0.0
Wu_2015,0.9185606060606061,0.0,0.0,0.0
Zhao_2021,0.3375,0.5135714285714286,0.5833333333333334,0.40625
