network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.06388765649999402,0.0,0.0,0.0
Brysting_2007,0.0248451997499977,0.0,0.03042903097250923,0.049690399499995326
Diaz-Perez_2018,0.0,0.0,0.0,0.0
Ding_2023,0.5477225575051661,0.0,0.0,0.447213595499958
Hori_2014,0.012777531299998805,0.0,0.0,0.0
Koenen_2020,0.0,0.2683281572999748,0.3898717737923585,0.2683281572999748
Lawrence_2016,0.0,0.0,0.0,0.0
Liang_2019,0.0,0.027950849718747374,0.03608439182435161,0.04061164310337068
Liu_2023,0.0,0.0,0.0,0.10714285714285714
Marcussen_2011,0.08944271909999156,0.0,0.0,0.0
Marcussen_2012,0.0,,,
Marcussen_2015,0.0,,,
Popp_2005,0.3577708763999664,0.0,0.0,0.0
Ren_2024,0.0,0.0,0.22360679774997896,0.0
Sessa_2012b,0.03220006422047119,0.0,0.0,0.017116329922036443
Shahrestani_2015,0.14907119849998599,0.0,0.0,0.0
Soza_2014,0.0,,,
Wisecaver_2023,0.447213595499958,0.0,0.0,0.0
Wu_2015,0.05974170566510418,0.0,0.0,0.0
Zhao_2021,0.30809393859665596,0.47390044593043085,0.39086797998528583,0.47186465220442186
