network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9333 ± 0.0559 (5),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (4)
Brysting_2007,0.9929 ± 0.0129 (5),0.1099 ± 0.0241 (5),0.1103 ± 0.0245 (5),0.1148 ± 0.0642 (5)
Diaz-Perez_2018,0.9444 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0444 ± 0.0410 (5)
Ding_2023,0.4000 ± 0.5477 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),0.2000 ± 0.4472 (5)
Hori_2014,0.9810 ± 0.0120 (5),0.0206 ± 0.0344 (5),0.0190 ± 0.0106 (5),0.0143 ± 0.0319 (5)
Koenen_2020,0.0000 ± 0.0000 (5),0.1500 ± 0.3354 (5),0.3167 ± 0.4346 (5),0.1500 ± 0.3354 (5)
Lawrence_2016,0.8750 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liang_2019,1.0000 ± 0.0000 (5),0.0630 ± 0.0351 (5),0.0627 ± 0.0865 (5),0.1089 ± 0.0689 (5)
Liu_2023,0.8333 ± 0.0000 (5),0.0500 ± 0.1118 (5),0.0611 ± 0.1366 (5),0.1980 ± 0.1684 (5)
Marcussen_2011,0.9187 ± 0.0442 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0352 ± 0.0340 (5)
Marcussen_2012,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9678 ± 0.0078 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.3718 ± 0.0725 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,0.6667 ± 0.0000 (5),0.6111 ± 0.0000 (5),0.4889 ± 0.2733 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,0.9755 ± 0.0232 (5),0.0809 ± 0.0186 (5),0.1052 ± 0.0247 (5),0.0524 ± 0.0355 (5)
Shahrestani_2015,0.7300 ± 0.0274 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,0.9997 ± 0.0004 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.3600 ± 0.2460 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9486 ± 0.0392 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.3187 ± 0.2910 (5),0.5050 ± 0.4645 (5),0.5833 ± 0.3909 (4),0.4062 ± 0.4719 (4)
