network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9333333333333333,0.0,0.0,0.0
Brysting_2007,0.9929269547325102,0.10987654320987654,0.1103395061728395,0.11481481481481479
Diaz-Perez_2018,0.9444444444444444,0.0,0.0,0.04444444444444444
Ding_2023,0.4,1.0,1.0,0.2
Hori_2014,0.9810137944066515,0.020634920634920638,0.01904761904761905,0.014285714285714285
Koenen_2020,0.0,0.15,0.3166666666666667,0.15
Lawrence_2016,0.875,0.0,0.0,0.0
Liang_2019,1.0,0.06296296296296297,0.0626851851851852,0.10893518518518519
Liu_2023,0.8333333333333334,0.05,0.061111111111111116,0.19801587301587303
Marcussen_2011,0.9187380952380952,0.0,0.0,0.035199999999999995
Marcussen_2012,1.0,,,
Marcussen_2015,0.9677678571428572,,,
Popp_2005,0.3717948717948718,0.0,0.0,0.0
Ren_2024,0.6666666666666666,0.611111111111111,0.4888888888888888,0.0
Sessa_2012b,0.9754545454545454,0.08090277777777778,0.10520833333333335,0.05243055555555556
Shahrestani_2015,0.73,0.0,0.0,0.0
Soza_2014,0.9996923076923077,,,
Wisecaver_2023,0.36,0.0,0.0,0.0
Wu_2015,0.9486111111111111,0.0,0.0,0.0
Zhao_2021,0.31875,0.505,0.5833333333333334,0.40625
