network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.3130 ± 0.0561 (5),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (4)
Brysting_2007,0.7101 ± 0.0739 (5),0.0161 ± 0.0103 (5),0.0208 ± 0.0096 (5),0.0094 ± 0.0053 (5)
Diaz-Perez_2018,0.6108 ± 0.0242 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0095 ± 0.0213 (5)
Ding_2023,0.1143 ± 0.1601 (5),0.0286 ± 0.0261 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,0.8097 ± 0.0277 (5),0.0085 ± 0.0117 (5),0.0170 ± 0.0095 (5),0.0043 ± 0.0095 (5)
Koenen_2020,0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,0.4211 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liang_2019,0.8186 ± 0.0303 (5),0.0266 ± 0.0112 (5),0.0251 ± 0.0307 (5),0.0432 ± 0.0150 (5)
Liu_2023,0.3333 ± 0.0000 (5),0.0069 ± 0.0154 (5),0.0138 ± 0.0308 (5),0.0381 ± 0.0081 (5)
Marcussen_2011,0.5818 ± 0.0932 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0080 ± 0.0179 (5)
Marcussen_2012,0.7108 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.4872 ± 0.0363 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.2093 ± 0.1333 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,0.1875 ± 0.0442 (5),0.0286 ± 0.0000 (5),0.0229 ± 0.0128 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,0.6834 ± 0.0066 (5),0.0106 ± 0.0090 (5),0.0186 ± 0.0110 (5),0.0120 ± 0.0110 (5)
Shahrestani_2015,0.3571 ± 0.1956 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,0.7434 ± 0.0212 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.2571 ± 0.1392 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.5415 ± 0.0436 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.2138 ± 0.1972 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (4),0.0086 ± 0.0172 (4)
