network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.3130379746835443,0.0,0.0,0.0
Brysting_2007,0.7101449275362318,0.016091954022988506,0.020796578454958567,0.009411764705882352
Diaz-Perez_2018,0.6108108108108108,0.0,0.0,0.009523809523809523
Ding_2023,0.11428571428571428,0.02857142857142857,0.0,0.0
Hori_2014,0.8096728307254623,0.00851063829787234,0.01702127659574468,0.00425531914893617
Koenen_2020,0.0,0.0,0.0,0.0
Lawrence_2016,0.42105263157894735,0.0,0.0,0.0
Liang_2019,0.8186046511627907,0.026646021895206807,0.025096809831323102,0.0431501665712192
Liu_2023,0.3333333333333333,0.006896551724137931,0.013793103448275862,0.038112522686025406
Marcussen_2011,0.5818181818181818,0.0,0.0,0.008
Marcussen_2012,0.7108433734939759,,,
Marcussen_2015,0.4871794871794872,,,
Popp_2005,0.20933333333333332,0.0,0.0,0.0
Ren_2024,0.1875,0.02857142857142857,0.022857142857142857,0.0
Sessa_2012b,0.6833907480314961,0.010631346578366447,0.018649006622516555,0.012009185593433783
Shahrestani_2015,0.3571428571428571,0.0,0.0,0.0
Soza_2014,0.7433989266547406,,,
Wisecaver_2023,0.2571428571428571,0.0,0.0,0.0
Wu_2015,0.5414634146341464,0.0,0.0,0.0
Zhao_2021,0.21379310344827585,0.0,0.0,0.008620689655172414
