network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.056108853248971295,0.0,0.0,0.0
Brysting_2007,0.0738988335303302,0.01028077231034386,0.009649789226297561,0.005261336417646564
Diaz-Perez_2018,0.024173707864862618,0.0,0.0,0.021295885499997995
Ding_2023,0.160073679180682,0.02608202654786505,0.0,0.0
Hori_2014,0.027699940699034004,0.01165367143628013,0.009515182882977829,0.009515182882977829
Koenen_2020,0.0,0.0,0.0,0.0
Lawrence_2016,0.0,0.0,0.0,0.0
Liang_2019,0.030321871652105342,0.011227663623390291,0.030724229981681155,0.015010990746304015
Liu_2023,0.0,0.015421158465515792,0.03084231693103158,0.00811639919237673
Marcussen_2011,0.09315409787235997,0.0,0.0,0.01788854381999832
Marcussen_2012,0.0,,,
Marcussen_2015,0.03626188621469474,,,
Popp_2005,0.13329999583229135,0.0,0.0,0.0
Ren_2024,0.04419417382415922,0.0,0.012777531299998798,0.0
Sessa_2012b,0.006554011472287967,0.008964016439601808,0.010978633161472205,0.010989893241330208
Shahrestani_2015,0.1956151991089879,0.0,0.0,0.0
Soza_2014,0.02124874235691016,,,
Wisecaver_2023,0.13923991921155662,0.0,0.0,0.0
Wu_2015,0.04363059468292271,0.0,0.0,0.0
Zhao_2021,0.1971859097309765,0.0,0.0,0.017241379310344827
