method,metric,network_property,correlation,p_value,significant,n_networks
grampa,num_rets_diff,num_reticulations,0.9986101681941989,1.82823336463973e-24,True,20
grampa,rf_distance,num_reticulations,0.7867618740060132,3.874967484678757e-05,True,20
polyphest_p70,rf_distance,num_reticulations,0.7057015922156793,0.0015495708235397988,True,17
grampa,num_rets_diff,num_polyploids,0.7037984792719933,0.0005343860690694173,True,20
grampa,edit_distance_multree,num_reticulations,0.6948444304926715,0.0006734305884301683,True,20
polyphest_p90,rf_distance,num_polyploids,0.6671107691032038,0.003440484805833452,True,17
polyphest_p70,rf_distance,num_polyploids,0.6539883996945407,0.004402070525036419,True,17
polyphest_p90,rf_distance,num_reticulations,0.6389200186861516,0.005763268886285486,True,17
grampa,num_rets_diff,num_species,0.6326561521240983,0.0027575388145401137,True,20
grampa,rf_distance,num_polyploids,0.6236507053119031,0.003300589865522732,True,20
polyphest_p90,num_rets_diff,num_polyploids,0.6124983354081821,0.008954721849274462,True,17
grampa,edit_distance_multree,num_polyploids,0.5602293702908011,0.01019624696804678,True,20
grampa,num_rets_diff,max_copies,0.5541965851288212,0.011225422926588763,True,20
grampa,edit_distance_multree,num_species,0.5245176397098683,0.01758353551165998,True,20
grampa,rf_distance,max_copies,0.5114509852527429,0.02116960550147272,True,20
grampa,edit_distance_multree,max_copies,0.5023544640889706,0.023992465037121654,True,20
polyphest_p50,rf_distance,num_polyploids,0.4898477925923333,0.04593761412821053,True,17
grampa,rf_distance,num_species,0.48795270307751826,0.029062441093112214,True,20
grampa,num_rets_bias,max_copies,-0.55529482335628,0.01103205403894391,True,20
grampa,num_rets_bias,num_species,-0.6344635358817361,0.002658063336960561,True,20
polyphest_p90,num_rets_bias,num_reticulations,-0.6794535451785472,0.0026991388989082137,True,17
grampa,num_rets_bias,num_polyploids,-0.7027358721323058,0.0005494908843997321,True,20
grampa,num_rets_bias,num_reticulations,-0.9992912261826182,4.275684819608652e-27,True,20
polyphest_p70,edit_distance_multree,num_polyploids,0.438739366441337,0.07810620524718445,False,17
polyphest_p70,rf_distance,max_copies,0.43003180640278826,0.08490442174557192,False,17
polyphest_p90,num_rets_diff,num_reticulations,0.38997349644520785,0.12175583900853741,False,17
polyphest_p70,edit_distance_multree,num_species,0.38794311068124837,0.12388041759297337,False,17
polyphest_p50,rf_distance,num_reticulations,0.38411017131470143,0.12796150293232808,False,17
polyphest_p50,edit_distance_multree,num_polyploids,0.38173393877140566,0.13053805151610512,False,17
polyphest_p90,edit_distance_multree,num_species,0.36455656015695886,0.15024024592492868,False,17
polyphest_p70,rf_distance,num_species,0.3479956473705647,0.17107035970022907,False,17
polyphest_p70,edit_distance_multree,max_copies,0.3307463039556382,0.1947371829029762,False,17
polyphest_p50,rf_distance,max_copies,0.3133130537933457,0.22074417696989168,False,17
polyphest_p90,edit_distance_multree,num_polyploids,0.30718128762189334,0.230396764190828,False,17
polyphest_p90,rf_distance,num_species,0.29970117082040276,0.2425301710821377,False,17
polyphest_p50,edit_distance_multree,num_species,0.2799337329373505,0.27649603120234534,False,17
polyphest_p90,edit_distance_multree,max_copies,0.2728501884294423,0.28933915413394246,False,17
polyphest_p50,edit_distance_multree,max_copies,0.26696948802148246,0.30026994646186916,False,17
polyphest_p90,rf_distance,max_copies,0.2306552696783547,0.3731041432146236,False,17
polyphest_p70,edit_distance_multree,num_reticulations,0.21610208544660112,0.4048140580237978,False,17
polyphest_p90,edit_distance_multree,num_reticulations,0.14823545541187158,0.5701786313810795,False,17
polyphest_p50,edit_distance_multree,num_reticulations,0.11274937329016516,0.6665800935853923,False,17
polyphest_p50,num_rets_diff,num_polyploids,0.07305087348931982,0.7805316050943936,False,17
polyphest_p70,num_rets_diff,num_polyploids,0.05658345586507838,0.8292207787448093,False,17
polyphest_p70,num_rets_diff,max_copies,0.055970332611823305,0.8310461275992741,False,17
polyphest_p50,rf_distance,num_species,0.05297793703338122,0.8399664486743696,False,17
polyphest_p90,num_rets_diff,num_species,0.022404399261876547,0.9319835605328538,False,17
polyphest_p50,num_rets_diff,max_copies,-0.005626029289405532,0.9829028001347938,False,17
polyphest_p70,num_rets_bias,max_copies,-0.015497389426340144,0.9529255377101308,False,17
polyphest_p50,num_rets_bias,max_copies,-0.05998560518192727,0.8191073710529039,False,17
polyphest_p90,num_rets_diff,max_copies,-0.06328006962633952,0.8093396872155653,False,17
polyphest_p50,num_rets_bias,num_polyploids,-0.1270464847178608,0.6270357131391309,False,17
polyphest_p70,num_rets_bias,num_polyploids,-0.16199837793336722,0.5344779253607694,False,17
polyphest_p90,num_rets_bias,num_species,-0.2219931527267851,0.3918082631573728,False,17
polyphest_p50,num_rets_diff,num_reticulations,-0.2455350712664618,0.3421593829759361,False,17
polyphest_p70,num_rets_diff,num_reticulations,-0.2524366754075046,0.32832256655743125,False,17
polyphest_p50,num_rets_diff,num_species,-0.2856618181794435,0.2663694987906295,False,17
polyphest_p70,num_rets_diff,num_species,-0.28623654807340204,0.26536624549411186,False,17
polyphest_p50,num_rets_bias,num_species,-0.3222569920587665,0.20713711642160368,False,17
polyphest_p70,num_rets_bias,num_species,-0.32616411229384895,0.2013680484065134,False,17
polyphest_p90,num_rets_bias,max_copies,-0.3541678144345918,0.16309295566488025,False,17
polyphest_p90,num_rets_bias,num_polyploids,-0.3828721501864951,0.12929943248137588,False,17
polyphest_p50,num_rets_bias,num_reticulations,-0.456568995154377,0.06543690379411547,False,17
polyphest_p70,num_rets_bias,num_reticulations,-0.47830878915696645,0.052121790620782905,False,17
