Network,H_Strict,H_Relaxed,Num_Polyploids,Total_WGD,alloppnet_CompRate_%,alloppnet_EditDist_MULtree,alloppnet_RF,grampa_CompRate_%,grampa_EditDist_MULtree,grampa_RF,mpsugar_CompRate_%,mpsugar_EditDist_MULtree,mpsugar_RF,padre_CompRate_%,padre_EditDist_MULtree,padre_RF,polyphest_p50_CompRate_%,polyphest_p50_EditDist_MULtree,polyphest_p50_RF,polyphest_p70_CompRate_%,polyphest_p70_EditDist_MULtree,polyphest_p70_RF,polyphest_p90_CompRate_%,polyphest_p90_EditDist_MULtree,polyphest_p90_RF
Bendiksby_2011,6,6,6,6,0.0000,,,100.0000,0.8906,0.3130,0.0000,,,0.0000,,,80.0000,0.7350,0.0000,80.0000,0.7350,0.0000,80.0000,0.7350,0.0000
Brysting_2007,18,18,17,18,0.0000,,,100.0000,0.8973,0.7101,0.0000,,,0.0000,,,100.0000,0.3286,0.0161,100.0000,0.3286,0.0208,100.0000,0.2249,0.0094
Diaz-Perez_2018,9,9,9,12,0.0000,,,100.0000,0.8645,0.6108,0.0000,,,0.0000,,,100.0000,0.0992,0.0000,100.0000,0.0992,0.0000,100.0000,0.2017,0.0095
Ding_2023,0,0,7,1,0.0000,,,100.0000,0.2314,0.1143,0.0000,,,0.0000,,,100.0000,0.5589,0.0286,100.0000,0.2575,0.0000,100.0000,0.1699,0.0000
Hori_2014,7,7,7,7,0.0000,,,100.0000,0.8419,0.8097,0.0000,,,0.0000,,,100.0000,0.0724,0.0085,100.0000,0.0457,0.0170,100.0000,0.0610,0.0043
Koenen_2020,1,1,5,1,0.0000,,,100.0000,0.3056,0.0000,0.0000,,,0.0000,,,100.0000,0.6292,0.0000,100.0000,0.6202,0.0000,100.0000,0.5528,0.0000
Lawrence_2016,4,4,5,4,0.0000,,,100.0000,0.7387,0.4211,0.0000,,,0.0000,,,100.0000,0.2543,0.0000,100.0000,0.2543,0.0000,100.0000,0.2543,0.0000
Liang_2019,24,24,24,24,0.0000,,,100.0000,0.9823,0.8186,0.0000,,,0.0000,,,100.0000,0.6684,0.0266,100.0000,0.6920,0.0251,100.0000,0.7241,0.0432
Liu_2023,6,6,8,8,0.0000,,,100.0000,0.7820,0.3333,0.0000,,,0.0000,,,100.0000,0.3880,0.0069,100.0000,0.3910,0.0138,100.0000,0.4271,0.0381
Marcussen_2011,5,5,7,9,0.0000,,,100.0000,0.7556,0.5818,0.0000,,,0.0000,,,100.0000,0.7259,0.0000,100.0000,0.7259,0.0000,100.0000,0.6637,0.0080
Marcussen_2012,9,9,35,9,0.0000,,,100.0000,0.9595,0.7108,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Marcussen_2015,14,14,13,14,0.0000,,,100.0000,0.9137,0.4872,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Morales-Briones_2021,48,44,49,48,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Popp_2005,1,1,3,3,0.0000,,,100.0000,0.7733,0.2093,0.0000,,,0.0000,,,100.0000,0.1231,0.0000,100.0000,0.1231,0.0000,100.0000,0.1969,0.0000
Ren_2024,3,3,7,3,0.0000,,,100.0000,0.7901,0.1875,0.0000,,,0.0000,,,100.0000,0.6843,0.0286,100.0000,0.6909,0.0229,100.0000,0.6843,0.0000
Sessa_2012b,16,16,16,16,0.0000,,,100.0000,0.9067,0.6834,0.0000,,,0.0000,,,100.0000,0.4537,0.0106,100.0000,0.5316,0.0186,100.0000,0.4895,0.0120
Shahrestani_2015,2,2,2,2,0.0000,,,100.0000,0.6110,0.3571,0.0000,,,0.0000,,,100.0000,0.1600,0.0000,100.0000,0.1600,0.0000,100.0000,0.0000,0.0000
Soza_2014,25,26,22,26,0.0000,,,100.0000,0.9561,0.7434,0.0000,,,0.0000,,,0.0000,,,0.0000,,,0.0000,,
Wisecaver_2023,1,1,1,1,0.0000,,,100.0000,0.4584,0.2571,0.0000,,,0.0000,,,100.0000,0.0262,0.0000,100.0000,0.0262,0.0000,100.0000,0.5508,0.0000
Wu_2015,8,8,9,8,0.0000,,,100.0000,0.8647,0.5415,0.0000,,,0.0000,,,100.0000,0.3086,0.0000,100.0000,0.3086,0.0000,100.0000,0.3238,0.0000
Zhao_2021,1,1,14,1,0.0000,,,100.0000,0.6598,0.2138,0.0000,,,0.0000,,,100.0000,0.6393,0.0000,80.0000,0.6667,0.0000,80.0000,0.6410,0.0086
