network,config,method,metric,mean,std,min,max,n_valid
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,edit_distance,0.9343915343915343,0.015695658173747417,0.9153439153439153,0.9576719576719577,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,edit_distance_multree,0.8813469206911829,0.018208462075621736,0.8524590163934426,0.8961748633879781,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,num_rets_bias,-5.0,0.0,-5.0,-5.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,num_rets_diff,5.0,0.0,5.0,5.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ploidy_diff.FN,4.2,1.0954451150103324,3.0,5.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ploidy_diff.FP,1.6,2.1908902300206647,0.0,4.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ploidy_diff.TP,1.8,1.0954451150103324,1.0,3.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ploidy_diff.dist,0.78,0.07302967433402223,0.7,0.8333333333333334,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ret_leaf_jaccard.FN,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ret_leaf_jaccard.FP,0.05714285714285714,0.07824607964359515,0.0,0.14285714285714285,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ret_leaf_jaccard.TP,0.10952380952380947,0.07824607964359519,0.023809523809523725,0.16666666666666663,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ret_leaf_jaccard.dist,0.8904761904761905,0.0782460796435952,0.8333333333333334,0.9761904761904763,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ret_sisters_jaccard.FN,0.8833333333333334,0.06846531968814575,0.8333333333333334,0.9583333333333334,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ret_sisters_jaccard.FP,0.03333333333333333,0.04564354645876384,0.0,0.08333333333333333,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ret_sisters_jaccard.TP,0.11666666666666663,0.06846531968814577,0.04166666666666663,0.16666666666666663,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,ret_sisters_jaccard.dist,0.8833333333333334,0.06846531968814575,0.8333333333333334,0.9583333333333334,5
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,rf_distance,0.2743037974683544,0.05851153718692517,0.189873417721519,0.325,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,edit_distance,0.9608465608465607,0.008853545254328837,0.9523809523809523,0.9735449735449735,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,edit_distance_multree,0.760655737704918,0.022662777435330853,0.7213114754098361,0.7759562841530054,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,num_rets_bias,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,num_rets_diff,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ploidy_diff.FN,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ploidy_diff.FP,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ploidy_diff.TP,6.0,0.0,6.0,6.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ploidy_diff.dist,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ret_leaf_jaccard.FN,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ret_leaf_jaccard.FP,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ret_leaf_jaccard.TP,1.0,0.0,1.0,1.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ret_leaf_jaccard.dist,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ret_sisters_jaccard.FN,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ret_sisters_jaccard.FP,0.0,0.0,0.0,0.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ret_sisters_jaccard.TP,1.0,0.0,1.0,1.0,5
Bendiksby_2011,conf_dup_loss_medium_10M,polyphest_p50,ret_sisters_jaccard.dist,0.0,0.0,0.0,0.0,5
