network,config,method,replicate,metric,value,status
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,edit_distance,0.9365079365079365,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,edit_distance_multree,0.8918918918918919,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,rf_distance,0.325,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,num_rets_bias,-5.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ploidy_diff.dist,0.7,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ploidy_diff.FP,4.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ploidy_diff.FN,3.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ploidy_diff.TP,3.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ret_leaf_jaccard.dist,0.9761904761904763,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ret_leaf_jaccard.FP,0.14285714285714285,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ret_leaf_jaccard.TP,0.023809523809523725,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ret_sisters_jaccard.dist,0.9583333333333334,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ret_sisters_jaccard.FP,0.08333333333333333,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ret_sisters_jaccard.FN,0.9583333333333334,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,ret_sisters_jaccard.TP,0.04166666666666663,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,edit_distance,0.9153439153439153,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,edit_distance_multree,0.8961748633879781,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,rf_distance,0.189873417721519,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,num_rets_bias,-5.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ploidy_diff.dist,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ploidy_diff.FP,0.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ploidy_diff.FN,5.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ploidy_diff.TP,1.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ret_leaf_jaccard.dist,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ret_leaf_jaccard.FP,0.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ret_leaf_jaccard.TP,0.16666666666666663,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ret_sisters_jaccard.dist,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ret_sisters_jaccard.FP,0.0,SUCCESS
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,ret_sisters_jaccard.FN,0.8333333333333334,SUCCESS
