network,config,method,replicate,gt_path,inferred_path,gt_exists,inferred_exists,file_size
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,1072
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,959
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,959
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,959
Bendiksby_2011,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Bendiksby_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Bendiksby_2011/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,1072
Koenen_2020,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,429
Koenen_2020,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,605
Koenen_2020,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,522
Koenen_2020,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,429
Koenen_2020,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Koenen_2020.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Koenen_2020/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,574
Brysting_2007,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Brysting_2007.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Brysting_2007/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,996
Brysting_2007,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Brysting_2007.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Brysting_2007/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,794
Brysting_2007,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Brysting_2007.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Brysting_2007/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,794
Brysting_2007,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Brysting_2007.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Brysting_2007/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,794
Brysting_2007,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Brysting_2007.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Brysting_2007/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,794
