network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8813 ± 0.0182 (5),0.7607 ± 0.0227 (5),0.7607 ± 0.0227 (5),0.7607 ± 0.0227 (5)
Brysting_2007,0.8941 ± 0.0048 (5),0.5362 ± 0.1608 (5),0.4843 ± 0.1396 (5),0.4973 ± 0.1974 (5)
Diaz-Perez_2018,0.8876 ± 0.0428 (5),0.0992 ± 0.0000 (5),0.0992 ± 0.0000 (5),0.1421 ± 0.0614 (5)
Ding_2023,0.3957 ± 0.3865 (5),0.4932 ± 0.1733 (5),0.4055 ± 0.1960 (5),0.5425 ± 0.0123 (5)
Hori_2014,0.7829 ± 0.0417 (5),0.1257 ± 0.0792 (5),0.1524 ± 0.1026 (5),0.0838 ± 0.1275 (5)
Koenen_2020,0.5831 ± 0.3084 (5),0.6292 ± 0.0000 (5),0.6202 ± 0.0408 (5),0.5978 ± 0.0301 (5)
Lawrence_2016,0.7272 ± 0.0397 (5),0.3514 ± 0.0697 (5),0.3514 ± 0.0697 (5),0.3514 ± 0.0697 (5)
Liang_2019,0.9586 ± 0.0150 (5),0.7814 ± 0.1169 (5),0.7274 ± 0.0944 (5),0.7392 ± 0.2100 (5)
Liu_2023,0.8000 ± 0.0456 (5),0.3729 ± 0.0586 (5),0.3850 ± 0.0377 (5),0.3970 ± 0.0694 (5)
Marcussen_2011,0.8850 ± 0.0296 (5),0.7259 ± 0.0000 (5),0.7259 ± 0.0000 (5),0.6370 ± 0.0513 (5)
Marcussen_2012,0.9718 ± 0.0221 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9096 ± 0.0091 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.7364 ± 0.0472 (5),0.1231 ± 0.0000 (5),0.1231 ± 0.0000 (5),0.1723 ± 0.0275 (5)
Ren_2024,0.8132 ± 0.0444 (5),0.6645 ± 0.0686 (5),0.7074 ± 0.0743 (5),0.6975 ± 0.0501 (5)
Sessa_2012b,0.9310 ± 0.0261 (5),N/A ± 0 (0),N/A ± 0 (0),0.6326 ± 0.1216 (5)
Shahrestani_2015,0.6171 ± 0.0521 (5),0.1600 ± 0.0000 (5),0.1600 ± 0.0000 (5),0.1600 ± 0.0000 (5)
Soza_2014,0.9536 ± 0.0447 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.6295 ± 0.0816 (5),0.0787 ± 0.0718 (5),0.0787 ± 0.0718 (5),0.0787 ± 0.0718 (5)
Wu_2015,0.8696 ± 0.0527 (5),0.3086 ± 0.0341 (5),0.3086 ± 0.0835 (5),0.3086 ± 0.0637 (5)
Zhao_2021,0.6838 ± 0.1705 (5),0.6564 ± 0.0394 (5),0.7624 ± 0.0731 (5),0.6701 ± 0.1036 (5)
