network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8813469206911829,0.760655737704918,0.760655737704918,0.760655737704918
Brysting_2007,0.894054054054054,0.5362162162162163,0.4843243243243244,0.4972972972972974
Diaz-Perez_2018,0.887603305785124,0.09917355371900827,0.09917355371900827,0.14214876033057852
Ding_2023,0.395738203957382,0.4931506849315069,0.4054794520547945,0.5424657534246575
Hori_2014,0.7828571428571429,0.12571428571428572,0.15238095238095237,0.0838095238095238
Koenen_2020,0.5831462820463976,0.6292134831460674,0.6202247191011236,0.597752808988764
Lawrence_2016,0.7271676300578035,0.3514450867052023,0.3514450867052023,0.3514450867052023
Liang_2019,0.9586497890295359,0.7814345991561181,0.7274261603375527,0.739240506329114
Liu_2023,0.8,0.37293233082706767,0.38496240601503756,0.3969924812030075
Marcussen_2011,0.8850111856823266,0.725925925925926,0.725925925925926,0.6370370370370371
Marcussen_2012,0.9717647058823529,,,
Marcussen_2015,0.9096446700507614,,,
Popp_2005,0.7364102564102565,0.12307692307692308,0.12307692307692308,0.17230769230769233
Ren_2024,0.8132231404958677,0.6644628099173554,0.7074380165289256,0.6975206611570248
Sessa_2012b,0.9309904153354631,,,0.6325878594249201
Shahrestani_2015,0.6171034482758622,0.16,0.16,0.16
Soza_2014,0.9535830583770029,,,
Wisecaver_2023,0.6295081967213114,0.07868852459016393,0.07868852459016393,0.07868852459016393
Wu_2015,0.8696459096459096,0.3085714285714286,0.3085714285714286,0.3085714285714286
Zhao_2021,0.6837606837606838,0.6564102564102564,0.7623931623931623,0.6700854700854701
