network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.018208462075621736,0.022662777435330853,0.022662777435330853,0.022662777435330853
Brysting_2007,0.004834741572972485,0.16082330180877072,0.13958092342987596,0.1974268364081046
Diaz-Perez_2018,0.04278406315882576,0.0,0.0,0.06140223345787342
Ding_2023,0.3864739285448822,0.17327548822840433,0.1960388363835432,0.012252427273971456
Hori_2014,0.041731242476584135,0.07922527368794446,0.10257456775494295,0.12749105166233532
Koenen_2020,0.30836890193497607,0.0,0.0408222519653594,0.03014923115730051
Lawrence_2016,0.039712286791485925,0.06965257956713093,0.06965257956713093,0.06965257956713093
Liang_2019,0.015036733908190247,0.11687078229376582,0.09442430873045986,0.21000623534148127
Liu_2023,0.04561128086647547,0.05862733440486594,0.0377440613474019,0.06940138802534931
Marcussen_2011,0.029642430758727627,0.0,0.0,0.05132002392796674
Marcussen_2012,0.022072544752110224,,,
Marcussen_2015,0.009080479096445836,,,
Popp_2005,0.047224059213215756,0.0,0.0,0.027520836646151257
Ren_2024,0.044351761537185945,0.06855021934984373,0.0742882811710553,0.05013471367967966
Sessa_2012b,0.026112225867990484,,,0.12157378652038625
Shahrestani_2015,0.05212807788669853,0.0,0.0,0.0
Soza_2014,0.04471644092929374,,,
Wisecaver_2023,0.08163868588845069,0.07183246655805457,0.07183246655805457,0.07183246655805457
Wu_2015,0.05274227806324835,0.03407341679999681,0.08346248495316819,0.06374552583116767
Zhao_2021,0.17051228498512827,0.03935338267767977,0.07312563978190578,0.10355645286058776
