network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9344 ± 0.0157 (5),0.9608 ± 0.0089 (5),0.9630 ± 0.0075 (5),0.9651 ± 0.0116 (5)
Brysting_2007,0.9717 ± 0.0181 (5),1.0372 ± 0.0193 (5),0.9938 ± 0.0873 (5),0.8818 ± 0.0909 (5)
Diaz-Perez_2018,0.9398 ± 0.0313 (5),0.4748 ± 0.2638 (5),0.2992 ± 0.2327 (5),0.2049 ± 0.0145 (5)
Ding_2023,0.9465 ± 0.0188 (5),0.8876 ± 0.0182 (5),0.8915 ± 0.0166 (5),0.8579 ± 0.0484 (5)
Hori_2014,0.9222 ± 0.0203 (5),0.6185 ± 0.1909 (5),0.5852 ± 0.1396 (5),0.6852 ± 0.1955 (5)
Koenen_2020,0.6649 ± 0.3150 (5),0.9686 ± 0.0430 (5),0.9355 ± 0.0305 (5),0.9607 ± 0.0420 (5)
Lawrence_2016,0.9198 ± 0.0133 (5),0.8419 ± 0.0876 (5),0.8093 ± 0.1042 (5),0.8209 ± 0.1299 (5)
Liang_2019,0.9625 ± 0.0035 (5),0.7703 ± 0.0565 (5),0.7922 ± 0.0483 (5),0.8492 ± 0.0554 (5)
Liu_2023,0.9615 ± 0.0081 (5),0.8415 ± 0.0605 (5),0.8637 ± 0.0220 (5),0.8474 ± 0.0461 (5)
Marcussen_2011,0.9339 ± 0.0282 (5),1.0709 ± 0.0000 (5),1.0614 ± 0.0086 (5),1.0646 ± 0.0086 (5)
Marcussen_2012,0.9252 ± 0.0127 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9974 ± 0.0059 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.8492 ± 0.0549 (5),0.8852 ± 0.0000 (5),0.8852 ± 0.0000 (5),0.9180 ± 0.0464 (5)
Ren_2024,0.8585 ± 0.0109 (5),0.8969 ± 0.0484 (5),0.9063 ± 0.0180 (5),0.8829 ± 0.0401 (5)
Sessa_2012b,0.9426 ± 0.0255 (5),N/A ± 0 (0),N/A ± 0 (0),0.9568 ± 0.0073 (5)
Shahrestani_2015,0.8667 ± 0.1217 (5),0.5926 ± 0.0000 (5),0.5926 ± 0.0000 (5),0.5926 ± 0.0000 (5)
Soza_2014,0.9691 ± 0.0115 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.7806 ± 0.0421 (5),0.5742 ± 0.1845 (5),0.5742 ± 0.1845 (5),0.5742 ± 0.1845 (5)
Wu_2015,0.9633 ± 0.0290 (5),0.6606 ± 0.0502 (5),0.6606 ± 0.0502 (5),0.6606 ± 0.0502 (5)
Zhao_2021,0.5879 ± 0.2880 (5),0.9331 ± 0.0387 (5),0.9283 ± 0.0608 (5),0.8908 ± 0.0247 (5)
