network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9343915343915343,0.9608465608465607,0.962962962962963,0.965079365079365
Brysting_2007,0.9717171717171716,1.0371859296482413,0.9938074209430994,0.8818181818181818
Diaz-Perez_2018,0.9398373983739837,0.47479674796747967,0.2991869918699187,0.20487804878048782
Ding_2023,0.9464680851063829,0.8875524475524476,0.8915151515151514,0.8578787878787878
Hori_2014,0.9222222222222222,0.6185185185185185,0.5851851851851853,0.6851851851851852
Koenen_2020,0.664864864864865,0.9685939103660622,0.9354942361342589,0.9606992163954189
Lawrence_2016,0.9197674418604651,0.8418604651162791,0.8093023255813954,0.8209302325581396
Liang_2019,0.9625,0.7703125,0.7921875,0.84921875
Liu_2023,0.9614814814814816,0.8414814814814815,0.8637037037037038,0.8474074074074075
Marcussen_2011,0.9338582677165354,1.0708661417322836,1.0614173228346455,1.0645669291338584
Marcussen_2012,0.925242718446602,,,
Marcussen_2015,0.9973684210526315,,,
Popp_2005,0.8491803278688526,0.8852459016393442,0.8852459016393442,0.9180327868852458
Ren_2024,0.8585365853658538,0.8969072164948454,0.9062610007543374,0.8829268292682928
Sessa_2012b,0.9425867507886435,,,0.9567744479495268
Shahrestani_2015,0.8666666666666666,0.5925925925925926,0.5925925925925926,0.5925925925925926
Soza_2014,0.969060773480663,,,
Wisecaver_2023,0.7806451612903226,0.5741935483870968,0.5741935483870968,0.5741935483870968
Wu_2015,0.963302752293578,0.6605504587155964,0.6605504587155964,0.6605504587155964
Zhao_2021,0.5878787878787879,0.9330898974091463,0.9282850317410233,0.8908015997217875
