network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.015695658173747417,0.008853545254328837,0.007482611441127487,0.01159201179905114
Brysting_2007,0.018069236181816502,0.0193320442830868,0.08728313594676936,0.09088102821636822
Diaz-Perez_2018,0.031277047254750126,0.2637957696347739,0.23269650497558786,0.014543531560974243
Ding_2023,0.018842464779050307,0.018218278248101332,0.016618387373571228,0.04840666044071781
Hori_2014,0.02028602064833946,0.19092942842640004,0.13956624949197613,0.19554363038835995
Koenen_2020,0.3149547487990749,0.04304281513784341,0.030466464886832294,0.04203319015047596
Lawrence_2016,0.013257853780222505,0.08763462177403149,0.10419798519637144,0.12989990738389712
Liang_2019,0.0034938562148434152,0.0564990147867642,0.04834921389614314,0.05535309244974485
Liu_2023,0.008114408259335733,0.060541679234674205,0.02197392144324641,0.04614047852562202
Marcussen_2011,0.028170935149603647,0.0,0.008625552086695628,0.008625552086695597
Marcussen_2012,0.01265864544699542,,,
Marcussen_2015,0.005884389414473155,,,
Popp_2005,0.054862952559611496,0.0,0.0,0.04636765778272443
Ren_2024,0.010907648670730699,0.048354801647664196,0.017983562080831576,0.04007726030525608
Sessa_2012b,0.025472087366796677,,,0.007303807557438879
Shahrestani_2015,0.12171612389003689,0.0,0.0,0.0
Soza_2014,0.011456597432777762,,,
Wisecaver_2023,0.042059370356146125,0.18446423813542964,0.18446423813542964,0.18446423813542964
Wu_2015,0.029011721652920902,0.050249775917905165,0.05024977591790518,0.05024977591790513
Zhao_2021,0.2879585216534449,0.03872054178588891,0.06080664509381006,0.02467910971895002
