network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.78,0.0,0.0,0.0
Brysting_2007,0.9333333333333333,0.0,0.0,0.0
Diaz-Perez_2018,1.0769230769230769,0.0,0.0,0.0
Ding_2023,0.4158730158730159,0.0,0.0,0.0
Hori_2014,1.1428571428571428,0.0,0.0,0.0
Koenen_2020,0.3564102564102564,0.0,0.0,0.0
Lawrence_2016,1.0,0.0,0.0,0.0
Liang_2019,0.7745754963427377,0.0,0.0,0.0
Liu_2023,0.875,0.0,0.0,0.0
Marcussen_2011,0.8779999999999999,0.0,0.0,0.0
Marcussen_2012,1.0205494267791477,,,
Marcussen_2015,0.9705882352941175,,,
Popp_2005,0.7428571428571429,0.0,0.0,0.0
Ren_2024,0.9333333333333333,0.0,0.0,0.0
Sessa_2012b,0.9962002224694105,,,0.0
Shahrestani_2015,0.65,0.0,0.0,0.0
Soza_2014,0.8679487179487179,,,
Wisecaver_2023,0.0,0.0,0.0,0.0
Wu_2015,0.7556818181818181,0.0,0.0,0.0
Zhao_2021,0.175,0.0,0.0,0.0
