network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.07302967433402223,0.0,0.0,0.0
Brysting_2007,0.14907119849998593,0.0,0.0,0.0
Diaz-Perez_2018,0.0,0.0,0.0,0.0
Ding_2023,0.4794071252452905,0.0,0.0,0.0
Hori_2014,0.0,0.0,0.0,0.0
Koenen_2020,0.3309083388660642,0.0,0.0,0.0
Lawrence_2016,0.0,0.0,0.0,0.0
Liang_2019,0.17051234909810514,0.0,0.0,0.0
Liu_2023,0.0,0.0,0.0,0.0
Marcussen_2011,0.14567086187704115,0.0,0.0,0.0
Marcussen_2012,0.007701052614716731,,,
Marcussen_2015,0.0,,,
Popp_2005,0.015971914124998456,0.0,0.0,0.0
Ren_2024,0.0,0.0,0.0,0.0
Sessa_2012b,0.039993857491921046,,,0.0
Shahrestani_2015,0.13693063937629152,0.0,0.0,0.0
Soza_2014,0.1808328675041037,,,
Wisecaver_2023,0.0,0.0,0.0,0.0
Wu_2015,0.23044658853037783,0.0,0.0,0.0
Zhao_2021,0.2554102092712819,0.0,0.0,0.0
