network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8905 ± 0.0782 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,0.9986 ± 0.0031 (5),0.0556 ± 0.0000 (5),0.0444 ± 0.0248 (5),0.0222 ± 0.0497 (5)
Diaz-Perez_2018,0.8889 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,0.6000 ± 0.5477 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5)
Hori_2014,0.9714 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Koenen_2020,0.3564 ± 0.3309 (5),0.1200 ± 0.2683 (5),0.6200 ± 0.3633 (5),0.4400 ± 0.4099 (5)
Lawrence_2016,0.7500 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liang_2019,0.9857 ± 0.0172 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0208 ± 0.0295 (5)
Liu_2023,0.8333 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0500 ± 0.1118 (5),0.0000 ± 0.0000 (5)
Marcussen_2011,0.9898 ± 0.0117 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2012,0.9333 ± 0.0609 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9286 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.1600 ± 0.3578 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,0.6667 ± 0.0000 (5),0.5000 ± 0.0000 (5),0.4000 ± 0.2236 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,0.9677 ± 0.0276 (5),N/A ± 0 (0),N/A ± 0 (0),0.0250 ± 0.0140 (5)
Shahrestani_2015,0.7000 ± 0.1826 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,0.9986 ± 0.0020 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9887 ± 0.0104 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.1750 ± 0.2554 (5),0.7750 ± 0.0559 (5),0.8822 ± 0.0896 (5),0.7750 ± 0.0559 (5)
