network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8904761904761905,0.0,0.0,0.0
Brysting_2007,0.9986111111111111,0.05555555555555556,0.04444444444444444,0.02222222222222222
Diaz-Perez_2018,0.888888888888889,0.0,0.0,0.0
Ding_2023,0.6,1.0,1.0,1.0
Hori_2014,0.9714285714285713,0.0,0.0,0.0
Koenen_2020,0.3564102564102564,0.12,0.6199999999999999,0.43999999999999995
Lawrence_2016,0.75,0.0,0.0,0.0
Liang_2019,0.9857291666666667,0.0,0.0,0.020833333333333332
Liu_2023,0.8333333333333334,0.0,0.05,0.0
Marcussen_2011,0.9898412698412699,0.0,0.0,0.0
Marcussen_2012,0.9333333333333332,,,
Marcussen_2015,0.9285714285714286,,,
Popp_2005,0.16,0.0,0.0,0.0
Ren_2024,0.6666666666666666,0.5,0.4,0.0
Sessa_2012b,0.9676587301587303,,,0.025
Shahrestani_2015,0.7,0.0,0.0,0.0
Soza_2014,0.9985847176079734,,,
Wisecaver_2023,0.0,0.0,0.0,0.0
Wu_2015,0.9886904761904762,0.0,0.0,0.0
Zhao_2021,0.175,0.775,0.8822222222222222,0.775
