network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.0782460796435952,0.0,0.0,0.0
Brysting_2007,0.003105649968749681,0.0,0.024845199749997663,0.049690399499995326
Diaz-Perez_2018,0.0,0.0,0.0,0.0
Ding_2023,0.5477225575051661,0.0,0.0,0.0
Hori_2014,0.0,0.0,0.0,0.0
Koenen_2020,0.3309083388660642,0.2683281572999748,0.363318042491699,0.4098780306383839
Lawrence_2016,0.0,0.0,0.0,0.0
Liang_2019,0.017163985036414083,0.0,0.0,0.02946278254943948
Liu_2023,0.0,0.0,0.1118033988749895,0.0
Marcussen_2011,0.01169659265202571,0.0,0.0,0.0
Marcussen_2012,0.060858061945018485,,,
Marcussen_2015,0.0,,,
Popp_2005,0.3577708763999664,0.0,0.0,0.0
Ren_2024,0.0,0.0,0.22360679774997896,0.0
Sessa_2012b,0.02760540337579656,,,0.013975424859373685
Shahrestani_2015,0.18257418583505536,0.0,0.0,0.0
Soza_2014,0.002008744583245875,,,
Wisecaver_2023,0.0,0.0,0.0,0.0
Wu_2015,0.010395386426531521,0.0,0.0,0.0
Zhao_2021,0.2554102092712819,0.055901699437494734,0.0896344160812871,0.055901699437494755
