network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8833 ± 0.0685 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,1.0000 ± 0.0000 (5),0.1219 ± 0.0281 (5),0.0975 ± 0.0619 (5),0.0287 ± 0.0642 (5)
Diaz-Perez_2018,0.9444 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0167 ± 0.0228 (5)
Ding_2023,0.6000 ± 0.5477 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5)
Hori_2014,0.9669 ± 0.0000 (5),0.0524 ± 0.0379 (5),0.0571 ± 0.0348 (5),0.0048 ± 0.0106 (5)
Koenen_2020,0.4667 ± 0.4260 (5),0.1500 ± 0.3354 (5),0.6583 ± 0.3708 (5),0.4833 ± 0.4425 (5)
Lawrence_2016,0.8750 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liang_2019,0.9950 ± 0.0089 (5),0.0846 ± 0.0184 (5),0.1156 ± 0.0562 (5),0.0937 ± 0.0477 (5)
Liu_2023,0.8333 ± 0.0000 (5),0.0556 ± 0.1242 (5),0.1361 ± 0.1970 (5),0.0250 ± 0.0373 (5)
Marcussen_2011,0.9949 ± 0.0002 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0160 ± 0.0089 (5)
Marcussen_2012,0.9262 ± 0.0139 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9643 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.4000 ± 0.1491 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.1333 ± 0.0745 (5)
Ren_2024,0.6667 ± 0.0000 (5),0.6111 ± 0.0000 (5),0.4889 ± 0.2733 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,0.9632 ± 0.0082 (5),N/A ± 0 (0),N/A ± 0 (0),0.0632 ± 0.0404 (5)
Shahrestani_2015,0.7500 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,0.9993 ± 0.0005 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.4000 ± 0.1369 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9875 ± 0.0087 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.3125 ± 0.2856 (5),0.6817 ± 0.1081 (5),0.8689 ± 0.0780 (5),0.7050 ± 0.1076 (5)
