network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8833333333333334,0.0,0.0,0.0
Brysting_2007,1.0,0.12191358024691357,0.09753086419753086,0.028703703703703697
Diaz-Perez_2018,0.9444444444444444,0.0,0.0,0.016666666666666666
Ding_2023,0.6,1.0,1.0,1.0
Hori_2014,0.966931216931217,0.05238095238095238,0.05714285714285715,0.004761904761904762
Koenen_2020,0.4666666666666667,0.15,0.6583333333333334,0.4833333333333334
Lawrence_2016,0.875,0.0,0.0,0.0
Liang_2019,0.9950353444842692,0.0845814272464315,0.11559167856918282,0.09365826079535758
Liu_2023,0.8333333333333334,0.05555555555555556,0.13611111111111113,0.025
Marcussen_2011,0.9948888888888888,0.0,0.0,0.016
Marcussen_2012,0.9262157809983897,,,
Marcussen_2015,0.9642857142857142,,,
Popp_2005,0.4,0.0,0.0,0.13333333333333333
Ren_2024,0.6666666666666666,0.611111111111111,0.4888888888888888,0.0
Sessa_2012b,0.9631818181818181,,,0.06319444444444444
Shahrestani_2015,0.75,0.0,0.0,0.0
Soza_2014,0.9992664165103189,,,
Wisecaver_2023,0.4,0.0,0.0,0.0
Wu_2015,0.9875,0.0,0.0,0.0
Zhao_2021,0.3125,0.6816666666666666,0.8688888888888888,0.705
