network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.06846531968814575,0.0,0.0,0.0
Brysting_2007,0.0,0.028055029263422605,0.06190560981646955,0.06418343268749395
Diaz-Perez_2018,0.0,0.0,0.0,0.02282177322938192
Ding_2023,0.5477225575051661,0.0,0.0,0.0
Hori_2014,0.0,0.03789630598829626,0.03477603539715341,0.010647942749999
Koenen_2020,0.4260064336151292,0.33541019662496846,0.37080992435478316,0.4425306015783918
Lawrence_2016,0.0,0.0,0.0,0.0
Liang_2019,0.008938755574413787,0.01840536482058517,0.05621312034033767,0.0477313234969113
Liu_2023,0.0,0.12422599874998833,0.19700692473885717,0.03726779962499649
Marcussen_2011,0.0002484519974999384,0.0,0.0,0.00894427190999916
Marcussen_2012,0.01394898199541402,,,
Marcussen_2015,0.0,,,
Popp_2005,0.14907119849998599,0.0,0.0,0.07453559924999298
Ren_2024,0.0,0.0,0.27329719724997426,0.0
Sessa_2012b,0.008156427616729148,,,0.040373449593746204
Shahrestani_2015,0.0,0.0,0.0,0.0
Soza_2014,0.00048338304706478554,,,
Wisecaver_2023,0.13693063937629152,0.0,0.0,0.0
Wu_2015,0.00871520860972997,0.0,0.0,0.0
Zhao_2021,0.28555729503901667,0.10807661891248986,0.07803528799741502,0.10762589527308629
