network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.2743 ± 0.0585 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,0.7101 ± 0.0000 (5),0.0207 ± 0.0126 (5),0.0184 ± 0.0154 (5),0.0024 ± 0.0053 (5)
Diaz-Perez_2018,0.6216 ± 0.0382 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,0.1619 ± 0.1528 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,0.8378 ± 0.0000 (5),0.0170 ± 0.0095 (5),0.0170 ± 0.0095 (5),0.0043 ± 0.0095 (5)
Koenen_2020,0.1879 ± 0.1836 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,0.4211 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liang_2019,0.8153 ± 0.0156 (5),0.1287 ± 0.0497 (5),0.1391 ± 0.0645 (5),0.1303 ± 0.0595 (5)
Liu_2023,0.3407 ± 0.0166 (5),0.0138 ± 0.0308 (5),0.0174 ± 0.0247 (5),0.0138 ± 0.0189 (5)
Marcussen_2011,0.7000 ± 0.0407 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2012,0.7095 ± 0.0261 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.4974 ± 0.0229 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.1520 ± 0.0716 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0615 ± 0.0344 (5)
Ren_2024,0.2750 ± 0.0559 (5),0.0286 ± 0.0000 (5),0.0229 ± 0.0128 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,0.6969 ± 0.0086 (5),N/A ± 0 (0),N/A ± 0 (0),0.0093 ± 0.0101 (5)
Shahrestani_2015,0.3571 ± 0.1956 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,0.7723 ± 0.0069 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.2545 ± 0.1019 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.5707 ± 0.0636 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.1586 ± 0.2020 (5),0.0276 ± 0.0154 (5),0.0069 ± 0.0154 (5),0.0207 ± 0.0189 (5)
