network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.2743037974683544,0.0,0.0,0.0
Brysting_2007,0.7101449275362319,0.020689655172413793,0.01839080459770115,0.002352941176470588
Diaz-Perez_2018,0.6216216216216216,0.0,0.0,0.0
Ding_2023,0.1619047619047619,0.0,0.0,0.0
Hori_2014,0.8378378378378379,0.01702127659574468,0.01702127659574468,0.00425531914893617
Koenen_2020,0.18787878787878787,0.0,0.0,0.0
Lawrence_2016,0.42105263157894735,0.0,0.0,0.0
Liang_2019,0.8152900294039027,0.12871171291059508,0.13908109977276256,0.1303145750048405
Liu_2023,0.34074074074074073,0.013793103448275862,0.017422867513611613,0.013793103448275862
Marcussen_2011,0.7,0.0,0.0,0.0
Marcussen_2012,0.7095238095238094,,,
Marcussen_2015,0.49743589743589745,,,
Popp_2005,0.152,0.0,0.0,0.06153846153846154
Ren_2024,0.275,0.02857142857142857,0.022857142857142857,0.0
Sessa_2012b,0.696875,,,0.009306843267108168
Shahrestani_2015,0.3571428571428571,0.0,0.0,0.0
Soza_2014,0.7723076923076924,,,
Wisecaver_2023,0.25449735449735444,0.0,0.0,0.0
Wu_2015,0.5707317073170731,0.0,0.0,0.0
Zhao_2021,0.15862068965517243,0.027586206896551724,0.006896551724137931,0.020689655172413793
