method,metric,avg_value,avg_rank,num_best,num_worst,num_networks
polyphest_p50,edit_distance,0.8134121449042484,2.375,5,4,16
polyphest_p70,edit_distance,0.7963682084100194,2.375,2,1,16
grampa,edit_distance,0.8948788706433621,2.4,10,12,20
polyphest_p90,edit_distance,0.8007961392798217,2.4705882352941178,3,3,17
polyphest_p50,edit_distance_multree,0.42919199041327777,1.6875,10,1,16
polyphest_p70,edit_distance_multree,0.42826039833934015,2.25,2,1,16
polyphest_p90,edit_distance_multree,0.43932980170392943,2.411764705882353,3,1,17
grampa,edit_distance_multree,0.795560449955821,3.1,5,17,20
polyphest_p50,num_rets_diff,0.525,1.75,9,2,16
polyphest_p70,num_rets_diff,0.7124999999999999,2.5,0,2,16
grampa,num_rets_diff,7.08,2.6,8,14,20
polyphest_p90,num_rets_diff,0.32941176470588235,2.7058823529411766,3,2,17
polyphest_p50,ploidy_diff.dist,0.0,1.0625,15,0,16
polyphest_p70,ploidy_diff.dist,0.0,2.0625,0,0,16
polyphest_p90,ploidy_diff.dist,0.0,2.9411764705882355,1,1,17
grampa,ploidy_diff.dist,0.7672565609301626,3.3,4,19,20
polyphest_p50,ret_leaf_jaccard.dist,0.15315972222222224,1.4375,11,0,16
polyphest_p70,ret_leaf_jaccard.dist,0.18729166666666666,2.4375,0,2,16
polyphest_p90,ret_leaf_jaccard.dist,0.13429738562091503,2.7058823529411766,3,2,17
grampa,ret_leaf_jaccard.dist,0.7391612070342448,2.9,6,16,20
polyphest_p50,ret_sisters_jaccard.dist,0.17232558082547694,1.5,10,0,16
polyphest_p90,ret_sisters_jaccard.dist,0.15115597923757318,2.411764705882353,5,1,17
polyphest_p70,ret_sisters_jaccard.dist,0.2139054763832371,2.5,0,2,16
grampa,ret_sisters_jaccard.dist,0.7964624812362531,3.05,5,17,20
polyphest_p50,rf_distance,0.014773336474688106,1.4375,12,0,16
polyphest_p70,rf_distance,0.013854358941318801,2.125,1,0,16
polyphest_p90,rf_distance,0.014250052868029802,2.3529411764705883,4,0,17
grampa,rf_distance,0.4757455071925521,3.45,3,20,20
