method,metric,network_property,correlation,p_value,significant,n_networks
grampa,num_rets_diff,num_reticulations,0.9989412001608424,1.5820275257007578e-25,True,20
polyphest_p50,rf_distance,num_polyploids,0.8236366635358682,8.804269094098664e-05,True,16
polyphest_p70,rf_distance,num_polyploids,0.7804469457190094,0.00036071369732562707,True,16
polyphest_p70,rf_distance,num_reticulations,0.7773457188054991,0.0003943915989458207,True,16
grampa,rf_distance,num_reticulations,0.7730925934239192,6.421203514606038e-05,True,20
polyphest_p50,rf_distance,num_reticulations,0.7427388044605971,0.000980676313725269,True,16
grampa,edit_distance_multree,num_reticulations,0.7360508323711721,0.00021589077445554228,True,20
grampa,num_rets_diff,num_polyploids,0.686098810068954,0.0008376794312912157,True,20
grampa,num_rets_diff,num_species,0.6248206248572699,0.003225388541409005,True,20
grampa,edit_distance_multree,num_polyploids,0.6185292321433172,0.003647154735271075,True,20
grampa,rf_distance,num_polyploids,0.5989940412912775,0.005258171141742337,True,20
grampa,edit_distance_multree,num_species,0.5914124307180948,0.006023601338990625,True,20
grampa,edit_distance_multree,max_copies,0.5782279710231442,0.0075717741416501255,True,20
polyphest_p90,rf_distance,num_polyploids,0.573568644631502,0.01607256783636942,True,17
grampa,num_rets_diff,max_copies,0.5407752144130156,0.013818327922285541,True,20
grampa,rf_distance,max_copies,0.533092780292915,0.015506992668039,True,20
polyphest_p90,edit_distance_multree,num_polyploids,0.5297709143086355,0.02872723593129321,True,17
polyphest_p90,rf_distance,num_reticulations,0.5240038220909169,0.030844425172139884,True,17
polyphest_p50,edit_distance_multree,num_polyploids,0.5222308828639791,0.03797300882431778,True,16
grampa,rf_distance,num_species,0.46636872554714087,0.038194998020822046,True,20
grampa,num_rets_bias,max_copies,-0.542541565630948,0.013451847949625933,True,20
grampa,num_rets_bias,num_species,-0.6276318354972252,0.003050488697729721,True,20
grampa,num_rets_bias,num_polyploids,-0.6845620468675431,0.0008697781482644644,True,20
grampa,num_rets_bias,num_reticulations,-0.9999348792195835,1.9994914317305333e-36,True,20
polyphest_p70,edit_distance_multree,num_polyploids,0.49008097326815564,0.053966024984467134,False,16
polyphest_p90,edit_distance_multree,num_species,0.45896077201091706,0.0638605089262988,False,17
polyphest_p50,edit_distance_multree,num_species,0.45804953019936007,0.0743866181684891,False,16
polyphest_p70,edit_distance_multree,num_species,0.4315544251211343,0.09509932776729557,False,16
polyphest_p70,rf_distance,max_copies,0.4015826615653731,0.12312729390260384,False,16
polyphest_p50,rf_distance,max_copies,0.389093504627209,0.13633949269106171,False,16
polyphest_p50,edit_distance_multree,max_copies,0.3205793430121324,0.22605902662080293,False,16
polyphest_p90,rf_distance,max_copies,0.3148325504301736,0.2183929959073903,False,17
polyphest_p70,edit_distance_multree,max_copies,0.30837325907292334,0.24522304722312516,False,16
polyphest_p70,rf_distance,num_species,0.29651914732552864,0.2647731762127312,False,16
polyphest_p90,edit_distance_multree,num_reticulations,0.27926071039492345,0.2777010636051084,False,17
polyphest_p50,edit_distance_multree,num_reticulations,0.27847013645652613,0.29631614269958795,False,16
polyphest_p90,edit_distance_multree,max_copies,0.27064547340680234,0.29340867466011045,False,17
polyphest_p50,rf_distance,num_species,0.2658973960874838,0.3195492574841323,False,16
polyphest_p70,edit_distance_multree,num_reticulations,0.211860430981094,0.43087010430288414,False,16
polyphest_p70,num_rets_diff,num_polyploids,0.18105607754614547,0.5021841652300812,False,16
polyphest_p90,rf_distance,num_species,0.10724691899229885,0.6820304520358683,False,17
polyphest_p50,num_rets_diff,num_polyploids,0.10620063399057335,0.6954619396962403,False,16
polyphest_p90,num_rets_diff,num_polyploids,0.08825441193367368,0.73624992821657,False,17
polyphest_p50,num_rets_diff,max_copies,0.0494246270437389,0.8557620347417967,False,16
polyphest_p70,num_rets_bias,num_polyploids,0.04790764442493149,0.8601479142075645,False,16
polyphest_p50,num_rets_bias,max_copies,0.013344012817090668,0.9608810511520345,False,16
polyphest_p50,num_rets_bias,num_polyploids,-0.08731134870391438,0.7478088091911053,False,16
polyphest_p90,num_rets_bias,num_polyploids,-0.09696132014835238,0.7112299955159022,False,17
polyphest_p70,num_rets_bias,max_copies,-0.1683856187898249,0.5330328308356163,False,16
polyphest_p70,num_rets_diff,max_copies,-0.1719634336232684,0.5242366198016819,False,16
polyphest_p50,num_rets_diff,num_reticulations,-0.21801482551221932,0.4172811783425047,False,16
polyphest_p50,num_rets_diff,num_species,-0.2643577284736781,0.32246507186483103,False,16
polyphest_p90,num_rets_diff,num_species,-0.2698198580696222,0.29494142189151057,False,17
polyphest_p70,num_rets_diff,num_species,-0.27256612261764823,0.3070978174756797,False,16
polyphest_p90,num_rets_diff,num_reticulations,-0.29057176284932995,0.2578738745232301,False,17
polyphest_p90,num_rets_bias,num_species,-0.30672113093133657,0.2311318012475183,False,17
polyphest_p70,num_rets_bias,num_species,-0.32578125449883144,0.21818908462510328,False,16
polyphest_p70,num_rets_diff,num_reticulations,-0.33026173396213293,0.21155251298239308,False,16
polyphest_p50,num_rets_bias,num_species,-0.33416689951401213,0.20587493741309365,False,16
polyphest_p90,num_rets_diff,max_copies,-0.33911077098215997,0.18300660437632296,False,17
polyphest_p90,num_rets_bias,max_copies,-0.38891613153105664,0.122859049672035,False,17
polyphest_p50,num_rets_bias,num_reticulations,-0.4328187894269657,0.09402692087620032,False,16
polyphest_p70,num_rets_bias,num_reticulations,-0.4629254291097322,0.07096432394602412,False,16
polyphest_p90,num_rets_bias,num_reticulations,-0.4780157276842433,0.05228656357929428,False,17
