network,config,method,replicate,metric,value,status
Bendiksby_2011,conf_ils_high_10M,grampa,1,edit_distance,0.9047619047619048,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ploidy_diff.dist,0.7,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ploidy_diff.FP,4.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ploidy_diff.FN,3.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ploidy_diff.TP,3.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ret_leaf_jaccard.dist,0.9761904761904763,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ret_leaf_jaccard.FP,0.14285714285714285,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ret_leaf_jaccard.TP,0.023809523809523725,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ret_sisters_jaccard.dist,1.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ret_sisters_jaccard.FP,0.16666666666666666,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ret_sisters_jaccard.FN,1.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,1,ret_sisters_jaccard.TP,0.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,edit_distance,0.9047619047619048,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ploidy_diff.dist,0.8235294117647058,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ploidy_diff.FP,28.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ploidy_diff.FN,0.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ploidy_diff.TP,6.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ret_leaf_jaccard.dist,0.9950980392156863,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ret_leaf_jaccard.FP,0.16176470588235295,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ret_leaf_jaccard.TP,0.004901960784313708,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ret_sisters_jaccard.dist,0.9583333333333334,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ret_sisters_jaccard.FP,0.125,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ret_sisters_jaccard.FN,0.9166666666666666,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,2,ret_sisters_jaccard.TP,0.04166666666666663,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,edit_distance,0.9047619047619048,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ploidy_diff.dist,0.6666666666666667,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ploidy_diff.FP,3.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ploidy_diff.FN,3.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ploidy_diff.TP,3.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ret_leaf_jaccard.dist,0.9722222222222222,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ret_leaf_jaccard.FP,0.1388888888888889,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ret_leaf_jaccard.TP,0.02777777777777779,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ret_sisters_jaccard.dist,1.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ret_sisters_jaccard.FP,0.16666666666666666,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ret_sisters_jaccard.FN,1.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,3,ret_sisters_jaccard.TP,0.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,edit_distance,0.8835978835978836,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,num_rets_diff,5.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,ploidy_diff.dist,0.7,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,ploidy_diff.FP,4.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,ploidy_diff.FN,3.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,ploidy_diff.TP,3.0,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,ret_leaf_jaccard.dist,0.9761904761904763,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,ret_leaf_jaccard.FP,0.14285714285714285,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,ret_leaf_jaccard.FN,0.8333333333333334,SUCCESS
Bendiksby_2011,conf_ils_high_10M,grampa,4,ret_leaf_jaccard.TP,0.023809523809523725,SUCCESS
