network,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9048 ± 0.0150 (5),1.2063 ± 0.0171 (5),N/A ± 0 (0),0.9788 ± 0.0374 (2),0.9545 ± 0.0330 (5)
Brysting_2007,0.9414 ± 0.0266 (5),N/A ± 0 (0),0.9849 ± 0.0000 (1),1.0070 ± 0.0045 (5),1.0030 ± 0.0045 (5)
Diaz-Perez_2018,0.9463 ± 0.0267 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Ding_2023,0.9480 ± 0.0179 (5),1.1294 ± 0.0511 (5),0.8825 ± 0.0112 (5),0.8925 ± 0.0209 (5),0.8975 ± 0.0137 (5)
Hori_2014,0.9815 ± 0.0185 (5),N/A ± 0 (0),0.7778 ± 0.1149 (5),0.8222 ± 0.0101 (5),0.8185 ± 0.0155 (5)
Koenen_2020,0.8000 ± 0.0867 (5),1.1153 ± 0.0493 (5),0.8723 ± 0.0213 (5),0.8809 ± 0.0243 (5),0.8766 ± 0.0277 (5)
Lawrence_2016,0.9151 ± 0.0052 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.9044 ± 0.0304 (5)
Liang_2019,0.9602 ± 0.0105 (5),N/A ± 0 (0),0.7328 ± 0.0284 (5),0.7484 ± 0.0102 (5),0.7727 ± 0.0744 (5)
Liu_2023,0.9526 ± 0.0066 (5),1.1778 ± 0.0335 (5),N/A ± 0 (0),N/A ± 0 (0),0.8593 ± 0.0378 (5)
Marcussen_2011,0.9339 ± 0.0173 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2012,0.9456 ± 0.0053 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9737 ± 0.0093 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.8492 ± 0.0497 (5),N/A ± 0 (0),0.9180 ± 0.0000 (5),0.8984 ± 0.0180 (5),0.9344 ± 0.0171 (5)
Ren_2024,0.8878 ± 0.0370 (5),N/A ± 0 (0),0.9600 ± 0.0279 (5),0.9533 ± 0.0274 (5),0.9632 ± 0.0217 (5)
Sessa_2012b,0.9281 ± 0.0131 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.9417 ± 0.0187 (5)
Shahrestani_2015,0.9259 ± 0.0907 (5),1.2759 ± 0.0398 (4),0.8000 ± 0.1217 (5),0.5926 ± 0.0000 (5),0.6815 ± 0.1217 (5)
Soza_2014,0.9641 ± 0.0103 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.7677 ± 0.1503 (5),N/A ± 0 (0),0.7355 ± 0.0835 (5),0.7355 ± 0.0835 (5),0.7355 ± 0.0835 (5)
Wu_2015,0.9303 ± 0.0353 (5),1.1963 ± 0.0294 (5),0.7927 ± 0.0376 (5),0.8147 ± 0.0164 (5),0.8183 ± 0.0164 (5)
Zhao_2021,0.5030 ± 0.2212 (5),N/A ± 0 (0),0.9847 ± 0.0000 (3),0.9733 ± 0.0192 (4),0.9664 ± 0.0128 (5)
