network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8634 ± 0.0299 (5),0.9276 ± 0.0230 (5),0.8976 ± 0.0215 (5),N/A ± 0 (0),0.6831 ± 0.0077 (2),0.6842 ± 0.0166 (5)
Brysting_2007,N/A ± 0 (0),0.9059 ± 0.0258 (5),N/A ± 0 (0),0.5730 ± 0.0000 (1),0.5427 ± 0.0193 (5),0.5384 ± 0.0090 (5)
Diaz-Perez_2018,N/A ± 0 (0),0.8909 ± 0.0277 (5),N/A ± 0 (0),0.5421 ± 0.0488 (5),0.5421 ± 0.0515 (5),0.5421 ± 0.0318 (5)
Ding_2023,0.8164 ± 0.0760 (5),0.5848 ± 0.2502 (5),0.7918 ± 0.0534 (5),0.4932 ± 0.0799 (5),0.4493 ± 0.0416 (5),0.4329 ± 0.0357 (5)
Hori_2014,N/A ± 0 (0),0.9232 ± 0.0628 (5),N/A ± 0 (0),0.4343 ± 0.0209 (5),0.4419 ± 0.0209 (5),0.4267 ± 0.0170 (5)
Koenen_2020,0.8180 ± 0.0755 (5),0.6984 ± 0.1609 (5),0.6944 ± 0.1299 (5),0.4360 ± 0.1152 (5),0.4809 ± 0.0948 (5),0.4629 ± 0.1521 (5)
Lawrence_2016,N/A ± 0 (0),0.8421 ± 0.1223 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.6058 ± 0.0362 (5)
Liang_2019,N/A ± 0 (0),0.9772 ± 0.0139 (5),N/A ± 0 (0),0.6312 ± 0.1093 (5),0.5603 ± 0.0976 (5),0.6194 ± 0.1247 (5)
Liu_2023,0.9173 ± 0.0463 (5),0.8714 ± 0.0378 (5),0.9489 ± 0.0294 (5),N/A ± 0 (0),N/A ± 0 (0),0.5444 ± 0.0289 (5)
Marcussen_2011,N/A ± 0 (0),0.8059 ± 0.1273 (5),N/A ± 0 (0),0.7496 ± 0.0081 (5),0.7437 ± 0.0066 (5),0.7526 ± 0.0066 (5)
Marcussen_2012,N/A ± 0 (0),0.9718 ± 0.0100 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,N/A ± 0 (0),0.9320 ± 0.0585 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,N/A ± 0 (0),0.8159 ± 0.0769 (5),N/A ± 0 (0),0.4185 ± 0.0674 (5),0.4185 ± 0.0674 (5),0.5538 ± 0.0000 (5)
Ren_2024,N/A ± 0 (0),0.8579 ± 0.0702 (5),N/A ± 0 (0),0.6149 ± 0.0541 (5),0.5884 ± 0.0381 (5),0.5785 ± 0.0561 (5)
Sessa_2012b,N/A ± 0 (0),0.9272 ± 0.0107 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.7118 ± 0.0097 (5)
Shahrestani_2015,0.6560 ± 0.1043 (5),0.5440 ± 0.0219 (5),0.6552 ± 0.1195 (4),0.4160 ± 0.1431 (5),0.1600 ± 0.0000 (5),0.2880 ± 0.1753 (5)
Soza_2014,N/A ± 0 (0),0.9420 ± 0.0295 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.6951 ± 0.0711 (5),0.5804 ± 0.2369 (5),N/A ± 0 (0),0.3148 ± 0.0549 (5),0.3148 ± 0.0549 (5),0.3148 ± 0.0549 (5)
Wu_2015,0.8152 ± 0.0529 (5),0.8344 ± 0.0558 (5),0.8470 ± 0.0660 (5),0.5829 ± 0.1022 (5),0.5676 ± 0.0730 (5),0.5867 ± 0.1047 (5)
Zhao_2021,0.8068 ± 0.0489 (5),0.5983 ± 0.2871 (5),N/A ± 0 (0),0.7521 ± 0.0296 (3),0.7821 ± 0.0379 (4),0.7932 ± 0.0798 (5)
