network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8633879781420765,0.9275523414097279,0.8975950439788434,,0.6830601092896175,0.6841530054644809
Brysting_2007,,0.9059459459459459,,0.572972972972973,0.5427027027027027,0.5383783783783784
Diaz-Perez_2018,,0.890909090909091,,0.5421487603305785,0.5421487603305785,0.5421487603305785
Ding_2023,0.8164383561643834,0.584779299847793,0.7917808219178083,0.4931506849315069,0.4493150684931507,0.43287671232876707
Hori_2014,,0.9232328527741371,,0.4342857142857143,0.4419047619047619,0.42666666666666664
Koenen_2020,0.8179775280898877,0.6983706695077616,0.69438202247191,0.43595505617977526,0.4808988764044944,0.46292134831460674
Lawrence_2016,,0.8421057889032421,,,,0.6057803468208093
Liang_2019,,0.9772151898734178,,0.6312236286919831,0.560337552742616,0.619409282700422
Liu_2023,0.9172932330827066,0.8713581338968336,0.9489390142021721,,,0.544360902255639
Marcussen_2011,,0.8059259259259258,,0.7496296296296296,0.7437037037037036,0.7525925925925925
Marcussen_2012,,0.9717647058823531,,,,
Marcussen_2015,,0.9319796954314722,,,,
Popp_2005,,0.815944055944056,,0.4184615384615385,0.4184615384615385,0.5538461538461539
Ren_2024,,0.8578512396694216,,0.6148760330578512,0.5884297520661157,0.5785123966942148
Sessa_2012b,,0.9271565495207668,,,,0.7118210862619808
Shahrestani_2015,0.6559999999999999,0.544,0.6551724137931034,0.41600000000000004,0.16,0.288
Soza_2014,,0.9420054200542005,,,,
Wisecaver_2023,0.6950819672131148,0.5803631235677772,,0.3147540983606557,0.3147540983606557,0.3147540983606557
Wu_2015,0.8152380952380952,0.8344129083038174,0.847017225821993,0.5828571428571429,0.5676190476190476,0.5866666666666667
Zhao_2021,0.8068376068376069,0.5982905982905983,,0.7521367521367521,0.782051282051282,0.7931623931623932
