network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.029930194399189394,0.0229772222518454,0.021469675163917634,,0.007727942963787413,0.016574591134538928
Brysting_2007,,0.025810457051488257,,0.0,0.01933896629189007,0.009044973259827848
Diaz-Perez_2018,,0.027658182695341336,,0.04875332629339715,0.05147904628891718,0.031794023242431975
Ding_2023,0.07602431192061153,0.25015812249119057,0.05340709230032312,0.0798760533540452,0.04155000243315917,0.03572165701480904
Hori_2014,,0.06283700489689242,,0.020865621238292015,0.020865621238292022,0.017036708399998397
Koenen_2020,0.07554038792796228,0.16092496620829747,0.12991990579381804,0.11524387779737608,0.09480909262799546,0.1520802185679877
Lawrence_2016,,0.12227816890272042,,,,0.03619069558959194
Liang_2019,,0.013866393860890306,,0.10928188586112864,0.09761345985432068,0.12468336581765946
Liu_2023,0.04634897746593215,0.03781231935134763,0.02939536116407983,,,0.028925389566423095
Marcussen_2011,,0.12726952056245647,,0.008114408259335775,0.006625386599999393,0.0066253865999993805
Marcussen_2012,,0.009982683969692444,,,,
Marcussen_2015,,0.05849689458228608,,,,
Popp_2005,,0.07693324789719551,,0.0674120070775589,0.0674120070775589,0.0
Ren_2024,,0.07022362243387764,,0.054067528045607,0.038052444407343254,0.056052313910126196
Sessa_2012b,,0.010692140914173465,,,,0.009690575647350203
Shahrestani_2015,0.10430723848324235,0.02190890230020667,0.11945177983233635,0.14310835055998652,0.0,0.17527121840165316
Soza_2014,,0.029538052235097475,,,,
Wisecaver_2023,0.07108027340550425,0.23685897606179757,,0.05486295255961151,0.05486295255961151,0.05486295255961151
Wu_2015,0.052854997811472786,0.05576687771219268,0.06595178578873061,0.10222025039999041,0.07302967433402217,0.10467528886883114
Zhao_2021,0.048949815600944795,0.28705736108968655,,0.029607706112288468,0.03790351765142471,0.07981276943541028
