network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.9333333333333332,0.9047619047619048,1.2063492063492063,,0.9788359788359788,0.9544973544973544
Brysting_2007,,0.9414141414141414,,0.9849246231155779,1.007035175879397,1.0030150753768843
Diaz-Perez_2018,,0.9463414634146341,,0.7447154471544716,0.751219512195122,0.7479674796747967
Ding_2023,0.9361233766233766,0.9480000000000001,1.1294117647058823,0.8825,0.8925000000000001,0.8975
Hori_2014,,0.9814814814814815,,0.7777777777777778,0.8222222222222222,0.8185185185185185
Koenen_2020,0.9527706336216974,0.8,1.1153153153153155,0.8723404255319149,0.8808510638297872,0.876595744680851
Lawrence_2016,,0.9151162790697673,,,,0.9043621074760215
Liang_2019,,0.96015625,,0.7328125,0.7484375,0.77265625
Liu_2023,0.9354767533490937,0.9525925925925927,1.1777777777777778,,,0.8592592592592592
Marcussen_2011,,0.9338582677165354,,1.0047244094488188,1.0078740157480315,1.0141732283464566
Marcussen_2012,,0.945631067961165,,,,
Marcussen_2015,,0.9736842105263157,,,,
Popp_2005,,0.8491803278688526,,0.9180327868852458,0.898360655737705,0.934375
Ren_2024,,0.8878048780487806,,0.96,0.9533333333333334,0.9632492997198879
Sessa_2012b,,0.9280757097791797,,,,0.9417152996845426
Shahrestani_2015,0.6148148148148148,0.9259259259259259,1.2758620689655173,0.8,0.5925925925925926,0.6814814814814815
Soza_2014,,0.9640883977900552,,,,
Wisecaver_2023,0.8741935483870968,0.767741935483871,,0.7354838709677419,0.7354838709677419,0.7354838709677419
Wu_2015,0.9093996459037502,0.9302752293577982,1.1963302752293576,0.7926605504587156,0.8146788990825689,0.8183486238532109
Zhao_2021,0.931372996480113,0.503030303030303,,0.9847328244274808,0.9732824427480916,0.9664122137404579
