network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.02713414053959385,0.014965222882254972,0.01714481666245473,,0.037413057205637514,0.03295748466115859
Brysting_2007,,0.02662914409386682,,0.0,0.004494608999999576,0.004494608999999504
Diaz-Perez_2018,,0.026718173536837315,,0.03127704725475019,0.03525119250191678,0.016260162601626046
Ding_2023,0.031934690942286535,0.017888543819998326,0.05113099925649131,0.01118033988749891,0.02091650066335185,0.013693063937629169
Hori_2014,,0.018518518518518556,,0.11490438561102646,0.010143010324169786,0.015493704195075468
Koenen_2020,0.040785052127770526,0.0867394947885471,0.049339110869318394,0.021276595744680802,0.02425905159785397,0.02774128683064956
Lawrence_2016,,0.005200158087208826,,,,0.030395580865969513
Liang_2019,,0.010481568644530261,,0.028384222069663987,0.010186253758129147,0.07444455780982247
Liu_2023,0.02072171409511579,0.006625386599999393,0.03353846347458301,,,0.037770514915502124
Marcussen_2011,,0.01725110417339103,,0.04776614452945855,0.036932407557664734,0.04536963871145807
Marcussen_2012,,0.005317694733059864,,,,
Marcussen_2015,,0.009304036594559832,,,,
Popp_2005,,0.04972377340361674,,0.0,0.017958116639513667,0.017116329922036436
Ren_2024,,0.036989636312446623,,0.02788866755113583,0.027386127875258317,0.02168802667698545
Sessa_2012b,,0.013082928298629478,,,,0.018720352671776234
Shahrestani_2015,0.17292766711005558,0.09072184232530286,0.039817259944112095,0.12171612389003694,0.0,0.12171612389003691
Soza_2014,,0.010336070129209807,,,,
Wisecaver_2023,0.04016096644512491,0.15026857675938213,,0.08349792971319216,0.08349792971319216,0.08349792971319216
Wu_2015,0.02827652150452301,0.035294282681965765,0.0294436817172132,0.03760348904939302,0.016411508091741574,0.016411508091741574
Zhao_2021,0.0370528990187192,0.22123287573871492,,0.0,0.019210774644454816,0.012773435519604167
