network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,-0.4000 ± 0.5477 (5),-5.0000 ± 0.0000 (5),-5.4000 ± 0.5477 (5),N/A ± 0 (0),0.0000 ± 0.0000 (2),0.0000 ± 0.0000 (5)
Brysting_2007,N/A ± 0 (0),-17.8000 ± 0.4472 (5),N/A ± 0 (0),-1.0000 ± 0.0000 (1),-1.0000 ± 0.0000 (5),-1.0000 ± 0.0000 (5)
Diaz-Perez_2018,N/A ± 0 (0),-8.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,6.6000 ± 0.5477 (5),1.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),7.0000 ± 0.0000 (5),7.0000 ± 0.0000 (5),7.0000 ± 0.0000 (5)
Hori_2014,N/A ± 0 (0),-6.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Koenen_2020,3.6000 ± 0.5477 (5),0.0000 ± 0.0000 (5),-0.6000 ± 0.5477 (5),4.0000 ± 0.0000 (5),4.0000 ± 0.0000 (5),4.0000 ± 0.0000 (5)
Lawrence_2016,N/A ± 0 (0),-3.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.8000 ± 0.4472 (5)
Liang_2019,N/A ± 0 (0),-24.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liu_2023,0.4000 ± 3.5777 (5),-5.0000 ± 0.0000 (5),-5.6000 ± 0.5477 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5)
Marcussen_2011,N/A ± 0 (0),-4.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2012,N/A ± 0 (0),-9.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,N/A ± 0 (0),-13.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,N/A ± 0 (0),0.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5)
Ren_2024,N/A ± 0 (0),-2.0000 ± 0.0000 (5),N/A ± 0 (0),4.0000 ± 0.0000 (5),4.0000 ± 0.0000 (5),4.4000 ± 0.5477 (5)
Sessa_2012b,N/A ± 0 (0),-16.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5)
Shahrestani_2015,-0.2000 ± 0.4472 (5),-1.0000 ± 0.0000 (5),-2.0000 ± 0.0000 (4),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,N/A ± 0 (0),-25.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,-0.2000 ± 0.4472 (5),0.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.6000 ± 0.5477 (5),-7.0000 ± 0.0000 (5),-7.6000 ± 0.5477 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,8.0000 ± 4.1231 (5),0.0000 ± 0.0000 (5),N/A ± 0 (0),13.0000 ± 0.0000 (3),13.0000 ± 0.0000 (4),13.0000 ± 0.0000 (5)
