network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,-0.4,-5.0,-5.4,,0.0,0.0
Brysting_2007,,-17.8,,-1.0,-1.0,-1.0
Diaz-Perez_2018,,-8.0,,0.0,0.0,0.0
Ding_2023,6.6,1.0,0.0,7.0,7.0,7.0
Hori_2014,,-6.0,,0.0,0.0,0.0
Koenen_2020,3.6,0.0,-0.6,4.0,4.0,4.0
Lawrence_2016,,-3.0,,,,0.8
Liang_2019,,-24.0,,0.0,0.0,0.0
Liu_2023,0.4,-5.0,-5.6,,,0.0
Marcussen_2011,,-4.0,,0.0,0.0,0.0
Marcussen_2012,,-9.0,,,,
Marcussen_2015,,-13.0,,,,
Popp_2005,,0.0,,0.0,0.0,1.0
Ren_2024,,-2.0,,4.0,4.0,4.4
Sessa_2012b,,-16.0,,,,0.0
Shahrestani_2015,-0.2,-1.0,-2.0,0.0,0.0,0.0
Soza_2014,,-25.0,,,,
Wisecaver_2023,-0.2,0.0,,0.0,0.0,0.0
Wu_2015,0.6,-7.0,-7.6,0.0,0.0,0.0
Zhao_2021,8.0,0.0,,13.0,13.0,13.0
