network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.0000 ± 0.0000 (5),0.7380 ± 0.0692 (5),1.0333 ± 0.3979 (5),N/A ± 0 (0),0.0000 ± 0.0000 (2),0.0000 ± 0.0000 (5)
Brysting_2007,N/A ± 0 (0),0.9700 ± 0.0671 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Diaz-Perez_2018,N/A ± 0 (0),1.0769 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,0.0000 ± 0.0000 (5),0.4849 ± 0.4344 (5),1.1429 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,N/A ± 0 (0),1.1493 ± 0.1219 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Koenen_2020,0.0000 ± 0.0000 (5),0.4333 ± 0.4346 (5),0.7200 ± 0.6573 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,N/A ± 0 (0),1.0544 ± 0.0631 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5)
Liang_2019,N/A ± 0 (0),1.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liu_2023,0.0000 ± 0.0000 (5),0.8218 ± 0.1174 (5),1.0500 ± 0.4384 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5)
Marcussen_2011,N/A ± 0 (0),0.9714 ± 0.0391 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2012,N/A ± 0 (0),1.0299 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,N/A ± 0 (0),0.9706 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,N/A ± 0 (0),0.7250 ± 0.0559 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,N/A ± 0 (0),0.8717 ± 0.1379 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,N/A ± 0 (0),1.0800 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5)
Shahrestani_2015,0.0000 ± 0.0000 (5),0.5667 ± 0.0913 (5),2.0000 ± 0.0000 (4),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,N/A ± 0 (0),1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.0000 ± 0.0000 (5),0.4000 ± 0.5477 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.0000 ± 0.0000 (5),0.6970 ± 0.1861 (5),1.0667 ± 0.4346 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.0000 ± 0.0000 (5),0.1750 ± 0.2554 (5),N/A ± 0 (0),0.0000 ± 0.0000 (3),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (5)
