network,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,5.0,5.0,,2.0,5.0
Brysting_2007,5.0,,1.0,5.0,5.0
Diaz-Perez_2018,5.0,,5.0,5.0,5.0
Ding_2023,5.0,5.0,5.0,5.0,5.0
Hori_2014,5.0,,5.0,5.0,5.0
Koenen_2020,5.0,5.0,5.0,5.0,5.0
Lawrence_2016,5.0,,,,5.0
Liang_2019,5.0,,5.0,5.0,5.0
Liu_2023,5.0,5.0,,,5.0
Marcussen_2011,5.0,,5.0,5.0,5.0
Marcussen_2012,5.0,,,,
Marcussen_2015,5.0,,,,
Popp_2005,5.0,,5.0,5.0,5.0
Ren_2024,5.0,,5.0,5.0,5.0
Sessa_2012b,5.0,,,,5.0
Shahrestani_2015,5.0,4.0,5.0,5.0,5.0
Soza_2014,5.0,,,,
Wisecaver_2023,5.0,,5.0,5.0,5.0
Wu_2015,5.0,5.0,5.0,5.0,5.0
Zhao_2021,5.0,,3.0,4.0,5.0
