network,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.06916595447167413,0.3979112128771107,,0.0,0.0
Brysting_2007,0.0670820393249937,,0.0,0.0,0.0
Diaz-Perez_2018,0.0,,,,
Ding_2023,0.4343779199897867,0.0,0.0,0.0,0.0
Hori_2014,0.121875768198788,,0.0,0.0,0.0
Koenen_2020,0.4346134936801766,0.6572670690061994,0.0,0.0,0.0
Lawrence_2016,0.06314787661503478,,,,0.0
Liang_2019,0.0,,0.0,0.0,0.0
Liu_2023,0.11743596121354645,0.4383919479187546,,,0.0
Marcussen_2011,0.039123039821797566,,,,
Marcussen_2012,0.0,,,,
Marcussen_2015,0.0,,,,
Popp_2005,0.055901699437494734,,0.0,0.0,0.0
Ren_2024,0.137890858612487,,0.0,0.0,0.0
Sessa_2012b,0.0,,,,0.0
Shahrestani_2015,0.0912870929175277,0.0,0.0,0.0,0.0
Soza_2014,0.0,,,,
Wisecaver_2023,0.5477225575051662,,0.0,0.0,0.0
Wu_2015,0.18610561582356794,0.4346134936801766,0.0,0.0,0.0
Zhao_2021,0.2554102092712819,,0.0,0.0,0.0
