network,alloppnet,grampa,mpsugar,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.1000 ± 0.1369 (5),0.9828 ± 0.0110 (5),0.9694 ± 0.0285 (5),N/A ± 0 (0),0.0000 ± 0.0000 (2),0.0000 ± 0.0000 (5)
Brysting_2007,N/A ± 0 (0),0.9963 ± 0.0083 (5),N/A ± 0 (0),0.0556 ± 0.0000 (1),0.0556 ± 0.0000 (5),0.0556 ± 0.0000 (5)
Diaz-Perez_2018,N/A ± 0 (0),0.8889 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5)
Hori_2014,N/A ± 0 (0),0.9568 ± 0.0558 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Koenen_2020,0.9560 ± 0.0055 (5),0.4333 ± 0.4346 (5),0.6000 ± 0.5477 (5),0.9600 ± 0.0000 (5),0.9600 ± 0.0000 (5),0.9600 ± 0.0000 (5)
Lawrence_2016,N/A ± 0 (0),0.9651 ± 0.0208 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.2400 ± 0.1342 (5)
Liang_2019,N/A ± 0 (0),1.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0042 ± 0.0093 (5)
Liu_2023,0.4000 ± 0.3354 (5),0.9874 ± 0.0242 (5),0.9861 ± 0.0196 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5)
Marcussen_2011,N/A ± 0 (0),0.9200 ± 0.1095 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2012,N/A ± 0 (0),1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,N/A ± 0 (0),0.9286 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,N/A ± 0 (0),0.1714 ± 0.3833 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.5000 ± 0.0000 (5)
Ren_2024,N/A ± 0 (0),0.6762 ± 0.0213 (5),N/A ± 0 (0),0.6905 ± 0.0000 (5),0.6905 ± 0.0000 (5),0.6976 ± 0.0098 (5)
Sessa_2012b,N/A ± 0 (0),1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0250 ± 0.0140 (5)
Shahrestani_2015,0.1000 ± 0.2236 (5),0.6000 ± 0.1369 (5),1.0000 ± 0.0000 (4),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,N/A ± 0 (0),1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.2000 ± 0.4472 (5),0.4000 ± 0.5477 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.2000 ± 0.0456 (5),0.9398 ± 0.0592 (5),0.9879 ± 0.0171 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.9658 ± 0.0308 (5),0.1750 ± 0.2554 (5),N/A ± 0 (0),0.9949 ± 0.0000 (3),0.9949 ± 0.0000 (4),0.9949 ± 0.0000 (5)
